
Gurobi 12.0.3 (win64) logging started Mon Aug 24 00:05:07 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_agosto\Costo_variable\Swap_libre\Swap_variable_3estaciones_320kW_Descomp\station_1_d152_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26359 rows, 53707 columns and 243503 nonzeros
Model fingerprint: 0xe488b42d
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23413 rows and 43752 columns
Presolve time: 0.13s
Presolved: 2946 rows, 9955 columns, 32491 nonzeros
Variable types: 824 continuous, 9131 integer (8474 binary)
Root relaxation presolved: 2946 rows, 9955 columns, 32491 nonzeros

Warning: Markowitz tolerance tightened to 0.03125

Root relaxation: objective 2.221018e+05, 15716 iterations, 1.43 seconds (2.43 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 222101.825    0   42          - 222101.825      -     -    2s
     0     0 222412.422    0   24          - 222412.422      -     -    2s
     0     0 222412.422    0   32          - 222412.422      -     -    3s
H    0     0                    262599.02440 222412.422  15.3%     -    3s
H    0     0                    262574.55517 222412.422  15.3%     -    3s
H    0     0                    262020.48791 222412.422  15.1%     -    3s
     0     0 222412.422    0   86 262020.488 222412.422  15.1%     -    3s
     0     0 222412.422    0   23 262020.488 222412.422  15.1%     -    4s
H    0     0                    261600.11675 222412.422  15.0%     -    4s
     0     0 222412.422    0  194 261600.117 222412.422  15.0%     -    4s
     0     0 222412.422    0   27 261600.117 222412.422  15.0%     -    5s
     0     0 222412.422    0   27 261600.117 222412.422  15.0%     -    5s
H    0     0                    261347.55235 222412.422  14.9%     -    5s
     0     2 222412.422    0   26 261347.552 222412.422  14.9%     -    6s
    32    34 222412.422    9   88 261347.552 222412.422  14.9%   558   10s
H   54    54                    260861.36040 222412.422  14.7%   420   12s
    89    91 222412.422   30   14 260861.360 222412.422  14.7%   271   15s
   139   141 222412.422   40   28 260861.360 222412.422  14.7%   199   20s
H  208   208                    260836.89117 222412.422  14.7%   173   27s
   208   210 222412.422   38   42 260836.891 222412.422  14.7%   174   30s
   271   273 222412.422   43   14 260836.891 222412.422  14.7%   165   35s
   351   353 222412.422   58   14 260836.891 222412.422  14.7%   139   41s
   414   416 222412.422   65   14 260836.891 222412.422  14.7%   127   45s
   512   513 222412.422   51   27 260836.891 222412.422  14.7%   113   51s
   515   515 222412.422   52   86 260836.891 222412.422  14.7%   113   55s
   519   518 222412.422    4   46 260836.891 222412.422  14.7%   112   60s
   523   520 222412.422   72   35 260836.891 222412.422  14.7%   111   65s
   533   527 222412.422   68   18 260836.891 222412.422  14.7%   109   70s
   542   535 222412.422   11   27 260836.891 222412.422  14.7%   217   75s
   577   558 222412.422   23   54 260836.891 222412.422  14.7%   218   80s
   606   578 222412.422   30   24 260836.891 222412.422  14.7%   224   85s
   630   594 222412.422   42   27 260836.891 222412.422  14.7%   234   90s
   654   610 222412.422   31   23 260836.891 222412.422  14.7%   238   95s
   673   622 222412.422   30   50 260836.891 222412.422  14.7%   241  100s
   691   634 222412.422   40   47 260836.891 222412.422  14.7%   236  105s
   708   646 222412.422   74   29 260836.891 222412.422  14.7%   231  110s
   731   661 222412.422   34   48 260836.891 222412.422  14.7%   224  115s
   750   674 222412.422   95   29 260836.891 222412.422  14.7%   219  120s
   775   690 222412.422   21   11 260836.891 222412.422  14.7%   216  126s
   802   708 222412.422   34   10 260836.891 222412.422  14.7%   211  130s
   830   727 222412.422   36   12 260836.891 222412.422  14.7%   206  135s
   878   759 222412.422   37   10 260836.891 222412.422  14.7%   198  140s
   905   777 222412.422   48   10 260836.891 222412.422  14.7%   194  145s
   945   804 222412.422   54   14 260836.891 222412.422  14.7%   188  150s
   983   829 222412.422   67   10 260836.891 222412.422  14.7%   184  156s
  1015   850 222412.422   61   12 260836.891 222412.422  14.7%   180  161s
  1056   878 222412.422   74   10 260836.891 222412.422  14.7%   175  165s
  1126   924 222412.422   39   10 260836.891 222412.422  14.7%   168  170s
  1204   976 222412.422   56   16 260836.891 222412.422  14.7%   161  175s
  1279  1026 222412.422   84   12 260836.891 222412.422  14.7%   156  180s
  1321  1054 222412.422   89   14 260836.891 222412.422  14.7%   152  185s
  1387  1098 222412.422  115   10 260836.891 222412.422  14.7%   148  190s
