
Gurobi 12.0.3 (win64) logging started Mon Aug 24 00:05:13 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_agosto\Costo_variable\Swap_libre\Swap_variable_3estaciones_320kW_Descomp\station_1_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26359 rows, 53707 columns and 243503 nonzeros
Model fingerprint: 0xfb08deb8
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23413 rows and 43752 columns
Presolve time: 0.15s
Presolved: 2946 rows, 9955 columns, 32491 nonzeros
Variable types: 824 continuous, 9131 integer (8474 binary)
Root relaxation presolved: 2946 rows, 9955 columns, 32491 nonzeros


Root relaxation: objective 2.230296e+05, 16339 iterations, 1.69 seconds (2.66 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 223029.616    0   41          - 223029.616      -     -    2s
H    0     0                    263939.41457 223029.616  15.5%     -    2s
H    0     0                    263800.24245 223029.616  15.5%     -    2s
H    0     0                    263774.34888 223029.616  15.4%     -    2s
H    0     0                    263536.94365 223029.616  15.4%     -    2s
     0     0 223029.616    0   34 263536.944 223029.616  15.4%     -    3s
     0     0 223932.474    0  157 263536.944 223932.474  15.0%     -    3s
     0     0 223932.474    0  155 263536.944 223932.474  15.0%     -    3s
     0     0 223932.474    0   23 263536.944 223932.474  15.0%     -    4s
     0     0 223932.474    0   57 263536.944 223932.474  15.0%     -    4s
     0     0 223932.474    0   38 263536.944 223932.474  15.0%     -    5s
     0     0 223932.474    0  159 263536.944 223932.474  15.0%     -    5s
     0     0 223932.474    0   34 263536.944 223932.474  15.0%     -    6s
     0     0 223932.474    0   57 263536.944 223932.474  15.0%     -    6s
     0     0 223932.474    0   31 263536.944 223932.474  15.0%     -    7s
     0     0 223932.474    0   31 263536.944 223932.474  15.0%     -    7s
H    0     0                    262362.09844 223932.474  14.6%     -    7s
     0     2 223932.474    0   31 262362.098 223932.474  14.6%     -    9s
     7     9 223932.474    4   62 262362.098 223932.474  14.6%   830   10s
H   27    27                    262347.28647 223932.474  14.6%   939   15s
    62    64 223932.474   26   18 262347.286 223932.474  14.6%   680   20s
   124   126 223932.474   43   30 262347.286 223932.474  14.6%   522   25s
   135   137 223932.474   41   10 262347.286 223932.474  14.6%   500   30s
   203   205 223932.474   46   10 262347.286 223932.474  14.6%   442   36s
   260   262 223932.474   53   83 262347.286 223932.474  14.6%   427   40s
   323   325 223932.474   61   32 262347.286 223932.474  14.6%   406   45s
   402   404 223932.474   72   45 262347.286 223932.474  14.6%   410   50s
   453   455 223932.474   84  114 262347.286 223932.474  14.6%   416   55s
   494   496 223932.474   95   30 262347.286 223932.474  14.6%   413   60s
   514   514 223932.474   46   40 262347.286 223932.474  14.6%   407   66s
   518   517 223932.474   25   77 262347.286 223932.474  14.6%   404   70s
   521   519 223932.474   91   56 262347.286 223932.474  14.6%   402   75s
   527   523 223932.474   47   27 262347.286 223932.474  14.6%   397   80s
   537   532 223932.474   11   84 262347.286 223932.474  14.6%   478   85s
   566   551 223932.474   21   33 262347.286 223932.474  14.6%   468   90s
   616   584 223932.474   30   19 262347.286 223932.474  14.6%   435   95s
   662   615 223932.474   44   17 262347.286 223932.474  14.6%   408  100s
   699   640 223932.474   56   26 262347.286 223932.474  14.6%   392  105s
   751   674 223932.474   67   26 262347.286 223932.474  14.6%   368  110s
   778   692 223932.474   75   14 262347.286 223932.474  14.6%   357  115s
   829   726 223932.474   58   14 262347.286 223932.474  14.6%   338  120s
   861   748 223932.474   63   18 262347.286 223932.474  14.6%   328  125s
   897   772 223932.474   71   16 262347.286 223932.474  14.6%   317  130s
   925   790 223932.474   83   26 262347.286 223932.474  14.6%   309  135s
   979   826 223932.474   68   14 262347.286 223932.474  14.6%   295  140s
  1040   867 223932.474   60   14 262347.286 223932.474  14.6%   281  145s
  1073   889 223932.474   62   14 262347.286 223932.474  14.6%   274  150s
  1136   931 223932.474   70   14 262347.286 223932.474  14.6%   261  155s
  1210   980 223932.474   78   14 262347.286 223932.474  14.6%   248  160s
  1280  1027 223932.474   87   14 262347.286 223932.474  14.6%   238  165s
  1359  1080 223932.474  101   14 262347.286 223932.474  14.6%   228  170s
  1393  1102 223932.474  107   18 262347.286 223932.474  14.6%   223  175s
