
Gurobi 12.0.3 (win64) logging started Sun Aug 23 21:58:13 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_agosto\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_2_d121_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26933 rows, 54733 columns and 250282 nonzeros
Model fingerprint: 0x52f2bee3
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25547 rows and 45437 columns
Presolve time: 0.13s
Presolved: 1386 rows, 9296 columns, 31250 nonzeros
Variable types: 216 continuous, 9080 integer (8676 binary)
Root relaxation presolved: 1386 rows, 9296 columns, 31250 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.774099e+05, 4344 iterations, 0.06 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 277409.914    0   63          - 277409.914      -     -    0s
     0     0 287999.085    0   69          - 287999.085      -     -    0s
     0     0 288003.554    0   69          - 288003.554      -     -    0s
     0     0 290001.592    0   10          - 290001.592      -     -    1s
     0     0 290001.592    0   14          - 290001.592      -     -    1s
     0     0 290001.592    0   13          - 290001.592      -     -    1s
     0     0 290001.592    0   16          - 290001.592      -     -    1s
     0     0 290001.592    0   14          - 290001.592      -     -    2s
H    0     0                    681200.60930 290001.594  57.4%     -    4s
H    0     0                    661651.60509 290001.594  56.2%     -    4s
H    0     0                    546119.36613 290001.594  46.9%     -    4s
H    0     0                    544208.00929 290001.594  46.7%     -    4s
H    0     0                    505334.60734 290001.594  42.6%     -    4s
H    0     0                    477877.05410 290001.594  39.3%     -    4s
H    0     0                    458328.04989 290001.594  36.7%     -    4s
H    0     0                    457640.90796 290001.594  36.6%     -    4s
H    0     0                    456395.46887 290001.594  36.5%     -    4s
     0     2 290001.594    0   13 456395.469 290001.594  36.5%     -    4s
    10    12 290001.594    4   53 456395.469 290001.594  36.5%   283    5s
    74    76 290001.594   19   34 456395.469 290001.594  36.5%   310   10s
H  130   130                    456303.38767 290001.594  36.4%   260   14s
   148   150 290001.594   24   26 456303.388 290001.594  36.4%   239   15s
H  182   182                    456285.76483 290001.594  36.4%   215   16s
H  182   182                    456268.14199 290001.594  36.4%   215   17s
   198   200 290001.594   42   15 456268.142 290001.594  36.4%   202   20s
H  217   217                    456268.02625 290001.594  36.4%   188   22s
   228   230 290001.594   50   11 456268.026 290001.594  36.4%   182   25s
   324   326 290001.594   53   13 456268.026 290001.594  36.4%   146   30s
   397   399 290001.594   54   11 456268.026 290001.594  36.4%   128   35s
   514   514 290001.594   52   64 456268.026 290001.594  36.4%   112   40s
H  514   488                    456191.64558 290001.594  36.4%   112   40s
H  514   463                    455758.39313 290001.594  36.4%   112   40s
   523   469 290001.601   25   18 455758.393 290001.601  36.4%   110   45s
H  524   447                    455740.77029 290001.601  36.4%   110   47s
   528   450 290001.601    3   12 455740.770 290001.601  36.4%   109   50s
H  533   430                    336927.95009 290001.601  13.9%   108   53s
H  533   408                    317443.90891 290001.601  8.64%   108   53s
   560   428 290001.601   25   17 317443.909 290001.601  8.64%   152   55s
H  591   426                    309503.26773 290001.601  6.30%   145   57s
   638   459 290001.601   41   13 309503.268 290001.601  6.30%   135   60s
   718   512 290001.601   57   20 309503.268 290001.601  6.30%   122   65s
   802   568 290001.601   83   16 309503.268 290001.601  6.30%   112   70s
   891   628 290001.601  120   13 309503.268 290001.601  6.30%   105   75s
  1009   706 290001.601  129   11 309503.268 290001.601  6.30%  95.1   80s
  1103   769 290001.601  133   11 309503.268 290001.601  6.30%  90.0   85s
  1251   868 290001.601  134   27 309503.268 290001.601  6.30%  82.0   90s
  1357   938 290001.601  129   10 309503.268 290001.601  6.30%  77.9   95s
  1468  1012 290001.601  126   24 309503.268 290001.601  6.30%  74.6  100s
  1580  1087 290001.601  131   24 309503.268 290001.601  6.30%  71.6  105s
  1668  1146 290001.601  131   18 309503.268 290001.601  6.30%  69.2  110s
  1783  1251 290001.601  131   10 309503.268 290001.601  6.30%  66.7  115s
  1893  1361 290001.601  132   24 309503.268 290001.601  6.30%  64.5  120s
  2011  1479 290001.601  139   12 309503.268 290001.601  6.30%  62.4  125s
  2065  1533 290001.601  139   14 309503.268 290001.601  6.30%  61.8  130s
