
Gurobi 12.0.3 (win64) logging started Sun Aug 23 23:23:50 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_agosto\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_3_d32_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26872 rows, 53707 columns and 243987 nonzeros
Model fingerprint: 0x5a28b8a1
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [3e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25514 rows and 44922 columns
Presolve time: 0.15s
Presolved: 1358 rows, 8785 columns, 27985 nonzeros
Variable types: 216 continuous, 8569 integer (8164 binary)
Root relaxation presolved: 1358 rows, 8785 columns, 27985 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.283885e+05, 3820 iterations, 0.06 seconds (0.06 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 228388.549    0   24          - 228388.549      -     -    0s
     0     0 228388.549    0   27          - 228388.549      -     -    0s
     0     0 228959.441    0   33          - 228959.441      -     -    0s
     0     0 228959.441    0   42          - 228959.441      -     -    0s
     0     0 228959.441    0   19          - 228959.441      -     -    1s
H    0     0                    362580.82100 228959.441  36.9%     -    1s
H    0     0                    362572.83855 228959.441  36.9%     -    1s
     0     0 228959.441    0   27 362572.839 228959.441  36.9%     -    1s
     0     0 228959.441    0   16 362572.839 228959.441  36.9%     -    1s
     0     0 228959.441    0   25 362572.839 228959.441  36.9%     -    1s
     0     0 228959.441    0   19 362572.839 228959.441  36.9%     -    1s
     0     0 228959.441    0   14 362572.839 228959.441  36.9%     -    2s
     0     0 228959.441    0   13 362572.839 228959.441  36.9%     -    2s
     0     0 228959.441    0   30 362572.839 228959.441  36.9%     -    2s
     0     0 228959.441    0   10 362572.839 228959.441  36.9%     -    2s
     0     0 228959.441    0   25 362572.839 228959.441  36.9%     -    2s
     0     0 228959.441    0   16 362572.839 228959.441  36.9%     -    2s
     0     0 228959.441    0    8 362572.839 228959.441  36.9%     -    3s
H    0     0                    361396.28070 228959.441  36.6%     -    3s
     0     0 228959.441    0   16 361396.281 228959.441  36.6%     -    3s
     0     0 228959.441    0   18 361396.281 228959.441  36.6%     -    4s
     0     0 228959.441    0   15 361396.281 228959.441  36.6%     -    4s
H    0     0                    361377.67254 228959.441  36.6%     -    5s
     0     2 228959.441    0   12 361377.673 228959.441  36.6%     -    5s
    65    67 228959.441   33   29 361377.673 228959.441  36.6%   196   10s
   115   117 228959.441   58   20 361377.673 228959.441  36.6%   158   15s
   203   203 228959.441   89   14 361377.673 228959.441  36.6%   108   20s
   303   303 228959.441   85   12 361377.673 228959.441  36.6%  80.5   25s
   405   405 228959.441  107   16 361377.673 228959.441  36.6%  71.8   30s
H  434   430                    361368.52045 228959.441  36.6%  81.4   31s
H  486   482                    361264.77215 228959.441  36.6%   105   33s
H  486   482                    361253.17637 228959.441  36.6%   105   33s
   494   492 228959.441   86   24 361253.176 228959.441  36.6%   110   35s
H  512   508                    361242.71191 228959.441  36.6%   120   36s
   520   515 228959.441    5   10 361242.712 228959.441  36.6%   119   41s
H  524   491                    360096.12104 228959.441  36.4%   118   44s
   526   492 228959.441   88    9 360096.121 228959.441  36.4%   118   45s
   532   496 228959.441  117   10 360096.121 228959.441  36.4%   117   50s
H  534   472                    360095.51307 228959.441  36.4%   162   50s
   612   526 228959.441   49    7 360095.513 228959.441  36.4%   158   55s
H  690   552                    358994.72119 228959.441  36.2%   142   58s
H  690   529                    358994.41721 228959.441  36.2%   142   58s
   726   555 228959.441   66    7 358994.417 228959.441  36.2%   135   60s
   803   607 228959.441   59    9 358994.417 228959.441  36.2%   124   65s
   885   661 228959.441   82    7 358994.417 228959.441  36.2%   114   70s
H  889   641                    358896.51885 228959.441  36.2%   114   70s
   990   710 228959.441   99    7 358896.519 228959.441  36.2%   104   75s
  1129   803 228959.441   88    7 358896.519 228959.441  36.2%  94.0   80s
  1241   878 228959.441   93    7 358896.519 228959.441  36.2%  87.2   85s
  1371   964 228959.441  126    7 358896.519 228959.441  36.2%  80.5   90s
H 1398   959                    311111.57834 228959.441  26.4%  80.7   91s
  1492  1024 229342.596  101   68 311111.578 228959.441  26.4%  82.6   95s
H 1641  1107                    311101.46868 228959.441  26.4%  76.9   99s
