lhd,node,day,t,value
LH518B_10,N2786,1,5,0.9992624442243189
LH518B_2,C0558,1,5,0.9963785504510311
LH518B_11,N2679,1,3,0.9962653322519281
LH518B_9,N2865,1,9,0.9955915587693901
LH518B_6,C0237,1,5,0.993754311865634
LH518B_6,C0198,1,133,0.9897024527492517
LH518B_10,N2752,1,74,0.9868071722825524
LH518B_1,C0616,1,47,0.9847475585324048
LH518B_5,C0274,1,8,0.9820882574160246
LH518B_2,C0561,1,2,0.981524346499737
LH518B_5,C0277,1,47,0.9781328637159058
LH518B_7,C0162,1,9,0.9775057493250203
LH518B_10,N2749,1,9,0.9772181187799133
LH518B_12,N2598,1,43,0.9737129462498821
LH518B_1,C0610,1,7,0.9725960294723528
LH518B_9,N2867,1,7,0.9721519077769947
LH518B_12,N2640,1,133,0.9712602659509552
LH518B_7,C0121,1,7,0.9712248483427744
LH518B_2,C0557,1,152,0.9709097645917888
LH518B_9,N2822,1,109,0.9708932135048193
LH518B_12,N2595,1,25,0.9708932135048192
LH518B_9,N2822,1,154,0.9708932135048192
LH518B_9,N2822,1,103,0.9708932135048192
LH518B_12,N2595,1,44,0.9708932135048192
LH518B_5,C0278,1,80,0.9707909147663587
LH518B_2,C0565,1,69,0.970769273633347
LH518B_5,C0308,1,37,0.9706943446704431
LH518B_5,C0308,1,123,0.9706943446704431
LH518B_7,C0167,1,148,0.9706621589078305
LH518B_7,C0167,1,94,0.9706621589078304
LH518B_7,C0167,1,12,0.9706621589078304
LH518B_5,C0305,1,54,0.9706535385090753
LH518B_1,C0584,1,115,0.9706478249106929
LH518B_1,C0584,1,109,0.9706478249106929
LH518B_1,C0584,1,102,0.9706478249106929
LH518B_3,C0502,1,149,0.9705878601797385
LH518B_3,C0502,1,123,0.9705878601797385
LH518B_11,N2671,1,39,0.9705713200658572
LH518B_11,N2671,1,83,0.9705713200658572
LH518B_11,N2671,1,29,0.9705713200658572
LH518B_3,C0499,1,40,0.9705115763151495
LH518B_3,C0499,1,115,0.9705115763151495
LH518B_1,C0620,1,159,0.9703402393419776
LH518B_1,C0620,1,79,0.9703402393419774
LH518B_6,C0235,1,12,0.9703189768665694
LH518B_6,C0235,1,108,0.9703189768665694
LH518B_10,N2783,1,154,0.970285731879304
LH518B_10,N2783,1,19,0.970285731879304
LH518B_2,C0529,1,158,0.9702188979381218
LH518B_6,C0243,1,70,0.9701796284688988
LH518B_9,N2867,1,119,0.9701589861903672
LH518B_4,C0443,1,19,0.9701589861903671
LH518B_4,C0443,1,97,0.9701589861903671
LH518B_6,C0232,1,65,0.9701531546710558
LH518B_6,C0232,1,38,0.9701531546710558
LH518B_4,C0418,1,107,0.9700353050576904
LH518B_4,C0418,1,90,0.9700353050576904
LH518B_9,N2859,1,68,0.9700187124079803
LH518B_5,C0270,1,59,0.9700081776830344
LH518B_5,C0270,1,98,0.9700081776830344
LH518B_12,N2632,1,18,0.9699642410609313
LH518B_7,C0159,1,52,0.9699438992601683
LH518B_7,C0159,1,114,0.9699438992601683
LH518B_7,C0159,1,30,0.9699438992601683
LH518B_4,C0440,1,83,0.9699399183857523
LH518B_5,C0316,1,150,0.9699117632432281
LH518B_5,C0316,1,119,0.9699117632432281
LH518B_5,C0316,1,62,0.9699117632432281
LH518B_3,C0474,1,127,0.9698974513999001
LH518B_3,C0474,1,59,0.9698974513999001
LH518B_3,C0474,1,32,0.9698974513999001
LH518B_11,N2708,1,25,0.9696973984824129
LH518B_6,C0196,1,82,0.9696868707354249
LH518B_6,C0196,1,149,0.9696868707354249
LH518B_3,C0481,1,39,0.969606919136998
LH518B_10,N2791,1,90,0.9695651305622796
LH518B_10,N2791,1,85,0.9695651305622796
LH518B_10,N2791,1,83,0.9695651305622794
LH518B_8,C0053,1,62,0.9695477038202802
LH518B_8,C0053,1,158,0.9695477038202802
LH518B_8,C0084,1,118,0.969515594050904
LH518B_8,C0084,1,128,0.9695155940509039
LH518B_9,N2830,1,58,0.9694691872012391
LH518B_4,C0411,1,50,0.9694691872012391
LH518B_4,C0411,1,102,0.9694691872012391
LH518B_11,N2715,1,32,0.9694093680052622
LH518B_11,N2715,1,93,0.9694093680052622
LH518B_11,N2705,1,50,0.9693248434817636
LH518B_11,N2705,1,163,0.9693248434817636
LH518B_2,C0536,1,75,0.9692858779173688
LH518B_2,C0536,1,18,0.9692858779173688
LH518B_7,C0121,1,149,0.9692587924419171
LH518B_7,C0128,1,39,0.9691839175964791
LH518B_7,C0128,1,105,0.9691839175964791
LH518B_4,C0450,1,64,0.9691623480506
LH518B_4,C0450,1,137,0.9691623480506
LH518B_8,C0056,1,44,0.9691254141818679
LH518B_10,N2747,1,143,0.9688581535174233
LH518B_1,C0591,1,143,0.9688581535174233
LH518B_10,N2747,1,98,0.9688581535174233
LH518B_1,C0591,1,14,0.9688581535174233
LH518B_12,N2639,1,77,0.9688164294577009
LH518B_8,C0046,1,68,0.968766969419321
LH518B_8,C0046,1,135,0.968766969419321
LH518B_6,C0203,1,47,0.9687562831576157
LH518B_8,C0091,1,157,0.968734911341457
LH518B_8,C0091,1,55,0.9687349113414568
LH518B_8,C0091,1,52,0.9687349113414568
LH518B_3,C0509,1,112,0.9687347326416502
LH518B_11,N2678,1,138,0.9687206342076323
LH518B_11,N2678,1,19,0.9687206342076323
LH518B_7,C0131,1,88,0.9686408488195347
LH518B_2,C0558,1,65,0.9685540787341084
LH518B_9,N2823,1,88,0.9685376078637216
LH518B_12,N2596,1,69,0.9685376078637216
LH518B_9,N2823,1,147,0.9685376078637216
LH518B_12,N2596,1,138,0.9685376078637216
LH518B_5,C0277,1,35,0.9684358048966144
LH518B_5,C0309,1,77,0.9683397027615176
LH518B_5,C0309,1,107,0.9683397027615176
LH518B_7,C0166,1,154,0.9683076729548504
LH518B_7,C0166,1,147,0.9683076729548504
LH518B_1,C0585,1,24,0.968293408411363
LH518B_3,C0503,1,24,0.9682337342211836
LH518B_3,C0503,1,110,0.9682337342211836
LH518B_3,C0503,1,124,0.9682337342211836
LH518B_11,N2672,1,63,0.9682172742442219
LH518B_10,N2744,1,15,0.9682070318403252
LH518B_12,N2602,1,32,0.9681866608356156
LH518B_12,N2602,1,124,0.9681866608356156
LH518B_6,C0206,1,14,0.9680713919391538
LH518B_1,C0619,1,38,0.9679873129650938
LH518B_6,C0236,1,67,0.9679661534800295
LH518B_6,C0236,1,112,0.9679661534800295
LH518B_10,N2784,1,38,0.9679330695190218
LH518B_2,C0530,1,147,0.9678665592797671
LH518B_6,C0242,1,135,0.9678274799969991
LH518B_6,C0242,1,153,0.9678274799969991
LH518B_6,C0242,1,54,0.967827479996999
LH518B_4,C0444,1,162,0.967806937688268
LH518B_9,N2866,1,79,0.967806937688268
LH518B_9,N2866,1,94,0.967806937688268
LH518B_4,C0444,1,54,0.967806937688268
LH518B_2,C0555,1,70,0.9678021857954114
LH518B_9,N2820,1,55,0.9677802588426664
LH518B_4,C0417,1,45,0.9676838554944056
LH518B_4,C0417,1,155,0.9676838554944056
