lhd,day,t,value
LH518B_5,1,44,0.9985994186438335
LH518B_8,1,39,0.9983458678600916
LH518B_5,1,43,0.9977258923750086
LH518B_7,1,152,0.9974170340142032
LH518B_5,1,135,0.9971048879760265
LH518B_1,1,110,0.9970056758489159
LH518B_10,1,29,0.9965132041183633
LH518B_11,1,134,0.996359760677175
LH518B_3,1,43,0.9963146030942348
LH518B_4,1,60,0.9956684827326232
LH518B_11,1,45,0.9956150934071776
LH518B_11,1,135,0.9953408847998672
LH518B_8,1,130,0.995250646026329
LH518B_11,1,102,0.994982734326019
LH518B_5,1,68,0.9946474679120341
LH518B_5,1,45,0.9936615742550593
LH518B_1,1,133,0.9929886336183783
LH518B_12,1,90,0.992818396504877
LH518B_7,1,135,0.9921121605301602
LH518B_2,1,50,0.9909934433287437
LH518B_5,1,117,0.9906774814760393
LH518B_12,1,40,0.9897781643153455
LH518B_10,1,155,0.9882516345853457
LH518B_12,1,130,0.9867759390606387
LH518B_8,1,125,0.9849528455130824
LH518B_4,1,123,0.9795111120161841
LH518B_10,1,140,0.9780579085092103
LH518B_1,1,43,0.9763287879448255
LH518B_8,1,28,0.9753528107705168
LH518B_6,1,132,0.974400227997037
LH518B_7,1,62,0.9733908006580811
LH518B_5,1,133,0.9705798734155071
LH518B_9,1,134,0.9686398094137696
LH518B_5,1,13,0.9682348214552567
LH518B_4,1,149,0.9679956814537872
LH518B_4,1,127,0.9675827094222589
LH518B_1,1,135,0.9674943078911034
LH518B_2,1,164,0.9672474464446321
LH518B_1,1,94,0.9652759090656785
LH518B_3,1,45,0.9651334410077039
LH518B_3,1,53,0.9640682220204425
LH518B_9,1,45,0.9609925823189405
LH518B_10,1,32,0.960779460876499
LH518B_12,1,47,0.960297595565395
LH518B_1,1,93,0.9560073805840751
LH518B_8,1,59,0.9537013541199378
LH518B_9,1,93,0.9528774332178997
LH518B_6,1,128,0.9483037295425087
LH518B_11,1,55,0.947730770621605
LH518B_2,1,59,0.9441819753000643
LH518B_7,1,53,0.9421224968322478
LH518B_8,1,88,0.9419733213881112
LH518B_10,1,142,0.9418023258888759
LH518B_4,1,119,0.9414099397089222
LH518B_8,1,85,0.9412815225925829
LH518B_6,1,91,0.9412306681918241
LH518B_7,1,104,0.9391861925796338
LH518B_8,1,73,0.9366499240113484
LH518B_12,1,78,0.9352328164354372
LH518B_8,1,93,0.93128744598913
LH518B_5,1,145,0.9290632765092197
LH518B_3,1,75,0.9258536534093065
LH518B_7,1,158,0.9247773231339528
LH518B_5,1,12,0.9247672975287541
LH518B_8,1,112,0.9246004543206588
LH518B_5,1,38,0.9241457687484474
LH518B_9,1,138,0.9225713636663949
LH518B_6,1,147,0.9205150783062176
LH518B_2,1,145,0.9174681318622657
LH518B_5,1,157,0.9174348139039702
LH518B_11,1,21,0.9117139601975734
LH518B_7,1,49,0.9070376108471103
LH518B_8,1,25,0.9031775722362
LH518B_8,1,37,0.902841208920006
LH518B_3,1,105,0.8992481601799738
