var,index,value,fractionality
Z,"('LH518B_5', 1, 53.0)",0.5003966051774651,0.4996033948225349
Y,"('LH518B_5', 'C0270', 1, 53.0)",0.49960339482253485,0.49960339482253485
Y,"('LH518B_3', 'C0507', 1, 114.0)",0.4987043218011738,0.4987043218011738
Z,"('LH518B_1', 1, 161.0)",0.4981369191702831,0.4981369191702831
Y,"('LH518B_9', 'N2826', 1, 137.0)",0.497966601492526,0.497966601492526
Z,"('LH518B_10', 1, 115.0)",0.49187747948519356,0.49187747948519356
Y,"('LH518B_10', 'N2746', 1, 55.0)",0.508135418348668,0.49186458165133196
Z,"('LH518B_10', 1, 55.0)",0.49186458165133196,0.49186458165133196
Y,"('LH518B_10', 'N2754', 1, 8.0)",0.5081470396067275,0.49185296039327253
Z,"('LH518B_10', 1, 126.0)",0.49181563346294993,0.49181563346294993
Y,"('LH518B_12', 'N2637', 1, 156.0)",0.508184607120159,0.491815392879841
Y,"('LH518B_12', 'N2638', 1, 156.0)",0.491815392879841,0.491815392879841
Z,"('LH518B_11', 1, 3.0)",0.4918096678193229,0.4918096678193229
Z,"('LH518B_10', 1, 8.0)",0.4893445708874018,0.4893445708874018
Y,"('LH518B_3', 'C0509', 1, 67.0)",0.5131856923260583,0.48681430767394174
Y,"('LH518B_2', 'C0565', 1, 71.0)",0.48681430767394174,0.48681430767394174
Y,"('LH518B_2', 'C0532', 1, 71.0)",0.5131856923260583,0.48681430767394174
Y,"('LH518B_3', 'C0483', 1, 67.0)",0.4868143076739417,0.4868143076739417
Y,"('LH518B_6', 'C0197', 1, 62.0)",0.48634518809213756,0.48634518809213756
Y,"('LH518B_8', 'C0084', 1, 127.0)",0.5136560116895371,0.4863439883104629
Z,"('LH518B_8', 1, 127.0)",0.4863439883104629,0.4863439883104629
Y,"('LH518B_6', 'C0198', 1, 164.0)",0.5136583166767664,0.4863416833232336
Z,"('LH518B_6', 1, 164.0)",0.4863416833232336,0.4863416833232336
Y,"('LH518B_6', 'C0240', 1, 67.0)",0.5136813942757741,0.4863186057242259
Y,"('LH518B_6', 'C0236', 1, 67.0)",0.48631860572422586,0.48631860572422586
Z,"('LH518B_5', 1, 150.0)",0.4862879989785398,0.4862879989785398
Y,"('LH518B_7', 'C0127', 1, 23.0)",0.5143454499740101,0.4856545500259899
Z,"('LH518B_11', 1, 11.0)",0.47276963217595436,0.47276963217595436
Z,"('LH518B_4', 1, 164.0)",0.5322014958870043,0.46779850411299573
Y,"('LH518B_7', 'C0160', 1, 147.0)",0.5363080063087616,0.46369199369123837
Z,"('LH518B_7', 1, 147.0)",0.46369199369123837,0.46369199369123837
Y,"('LH518B_12', 'N2639', 1, 51.0)",0.5411293173434957,0.4588706826565043
Z,"('LH518B_12', 1, 51.0)",0.4588706826565043,0.4588706826565043
Y,"('LH518B_5', 'C0275', 1, 150.0)",0.45750120169492203,0.45750120169492203
Y,"('LH518B_6', 'C0195', 1, 62.0)",0.4574487336651005,0.4574487336651005
Y,"('LH518B_5', 'C0274', 1, 162.0)",0.4574455574367943,0.4574455574367943
Y,"('LH518B_5', 'C0272', 1, 162.0)",0.5425544425632057,0.45744555743679427
Y,"('LH518B_6', 'C0202', 1, 75.0)",0.54255469653201,0.45744530346798995
Y,"('LH518B_6', 'C0243', 1, 75.0)",0.4574453034679899,0.4574453034679899
Y,"('LH518B_8', 'C0091', 1, 108.0)",0.45744043897088194,0.45744043897088194
Z,"('LH518B_8', 1, 108.0)",0.5425595610291181,0.45744043897088194
Y,"('LH518B_1', 'C0616', 1, 60.0)",0.5427898698863535,0.45721013011364653
