node,min_n_trips,max_n_trips,mean_n_trips,effective_trips_per_assignment
C0044,4,4,4.0,4
C0045,4,4,4.0,4
C0046,3,3,3.0,3
C0047,3,3,3.0,3
C0048,3,3,3.0,3
C0049,3,3,3.0,3
C0050,3,3,3.0,3
C0051,3,3,3.0,3
C0052,3,3,3.0,3
C0053,3,3,3.0,3
C0054,4,4,4.0,4
C0055,4,4,4.0,4
C0056,4,4,4.0,4
C0082,4,4,4.0,4
C0083,4,4,4.0,4
C0084,3,3,3.0,3
C0085,3,3,3.0,3
C0086,3,3,3.0,3
C0087,3,3,3.0,3
C0088,3,3,3.0,3
C0089,3,3,3.0,3
C0090,3,3,3.0,3
C0091,3,3,3.0,3
C0092,4,4,4.0,4
C0093,4,4,4.0,4
C0119,4,4,4.0,4
C0120,4,4,4.0,4
C0121,3,3,3.0,3
C0122,3,3,3.0,3
C0123,3,3,3.0,3
C0124,3,3,3.0,3
C0125,3,3,3.0,3
C0126,3,3,3.0,3
C0127,3,3,3.0,3
C0128,3,3,3.0,3
C0129,4,4,4.0,4
C0130,4,4,4.0,4
C0131,4,4,4.0,4
C0157,4,4,4.0,4
C0158,4,4,4.0,4
C0159,3,3,3.0,3
C0160,3,3,3.0,3
C0161,3,3,3.0,3
C0162,3,3,3.0,3
C0163,3,3,3.0,3
C0164,3,3,3.0,3
C0165,3,3,3.0,3
C0166,3,3,3.0,3
C0167,3,3,3.0,3
C0168,4,4,4.0,4
C0194,4,4,4.0,4
C0195,4,4,4.0,4
C0196,3,3,3.0,3
C0197,3,3,3.0,3
C0198,3,3,3.0,3
C0199,3,3,3.0,3
C0200,3,3,3.0,3
C0201,3,3,3.0,3
C0202,3,3,3.0,3
C0203,3,3,3.0,3
C0204,4,4,4.0,4
C0205,4,4,4.0,4
C0206,4,4,4.0,4
C0232,4,4,4.0,4
C0233,4,4,4.0,4
C0234,4,4,4.0,4
C0235,3,3,3.0,3
C0236,3,3,3.0,3
C0237,3,3,3.0,3
C0238,3,3,3.0,3
C0239,3,3,3.0,3
