
Gurobi 12.0.3 (win64) logging started Mon Sep  7 22:44:16 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_fijo\Swap_restringido\Swap_fixed_3estaciones_640kW_Descomp\station_1_d182_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 243347 nonzeros
Model fingerprint: 0xfcc31229
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 6e+02]
  Objective range  [4e-01, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25331 rows and 44775 columns
Presolve time: 0.17s
Presolved: 1571 rows, 8932 columns, 27513 nonzeros
Variable types: 216 continuous, 8716 integer (8260 binary)
Root relaxation presolved: 1571 rows, 8932 columns, 27513 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.350968e+05, 4133 iterations, 0.06 seconds (0.06 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 235096.831    0   19          - 235096.831      -     -    0s
     0     0 235163.444    0   11          - 235163.444      -     -    0s
H    0     0                    400020.33333 235163.444  41.2%     -    0s
H    0     0                    313520.77778 235163.444  25.0%     -    0s
     0     0 235163.444    0   39 313520.778 235163.444  25.0%     -    0s
     0     0 235163.444    0   12 313520.778 235163.444  25.0%     -    1s
     0     0 235163.444    0   35 313520.778 235163.444  25.0%     -    1s
     0     0 235163.444    0   11 313520.778 235163.444  25.0%     -    1s
     0     0 235163.444    0   11 313520.778 235163.444  25.0%     -    1s
     0     0 235163.444    0   13 313520.778 235163.444  25.0%     -    2s
     0     0 235163.444    0   40 313520.778 235163.444  25.0%     -    2s
     0     0 235163.444    0   14 313520.778 235163.444  25.0%     -    2s
     0     0 235163.444    0   14 313520.778 235163.444  25.0%     -    2s
     0     2 235163.444    0   14 313520.778 235163.444  25.0%     -    3s
H    9     9                    313520.77752 235163.444  25.0%   469    4s
    18    20 235163.444    9   59 313520.778 235163.444  25.0%   400    5s
    90    92 235163.444   46   33 313520.778 235163.444  25.0%   317   10s
   187   189 235163.444   94   21 313520.778 235163.444  25.0%   204   15s
   286   282 235163.444  111    9 313520.778 235163.444  25.0%   168   20s
   364   342 235163.444  134   24 313520.778 235163.444  25.0%   164   25s
H  459   425                    313520.76801 235163.444  25.0%   154   29s
   478   446 235163.444  153   25 313520.768 235163.444  25.0%   161   30s
   539   500 235163.444    6   47 313520.768 235163.444  25.0%   165   35s
   546   505 235163.444   99   11 313520.768 235163.444  25.0%   163   40s
   551   508 235163.444  117   22 313520.768 235163.444  25.0%   161   45s
   587   534 235163.444   26   17 313520.768 235163.444  25.0%   204   50s
   658   582 235163.444   61   16 313520.768 235163.444  25.0%   183   55s
   724   626 235163.444   21   19 313520.768 235163.444  25.0%   177   60s
   785   666 235163.444   33   14 313520.768 235163.444  25.0%   168   65s
   827   694 235163.444   39   18 313520.768 235163.444  25.0%   163   70s
   875   726 235163.444   37   12 313520.768 235163.444  25.0%   159   75s
   945   773 235163.444   44   37 313520.768 235163.444  25.0%   155   80s
  1010   816 235163.444   51   25 313520.768 235163.444  25.0%   154   85s
  1087   868 235163.444   46   12 313520.768 235163.444  25.0%   156   90s
  1157   914 235163.444   49   16 313520.768 235163.444  25.0%   156   95s
  1233   965 235163.444   32   12 313520.768 235163.444  25.0%   153  100s
  1311  1017 235163.444   38   14 313520.768 235163.444  25.0%   152  105s
  1368  1055 235163.444   47   25 313520.768 235163.444  25.0%   152  110s
  1467  1121 235163.444   68   11 313520.768 235163.444  25.0%   146  115s
  1605  1213 235163.444   72   11 313520.768 235163.444  25.0%   136  120s
  1691  1270 235163.444   78   11 313520.768 235163.444  25.0%   130  125s
  1829  1362 235163.444   96   11 313520.768 235163.444  25.0%   123  130s
  1968  1455 235163.444  102   19 313520.768 235163.444  25.0%   117  135s
  2082  1531 235163.444  100   11 313520.768 235163.444  25.0%   113  140s
  2210  1655 235163.444   89   11 313520.768 235163.444  25.0%   108  145s
  2334  1779 235163.444  101   15 313520.768 235163.444  25.0%   104  150s
  2474  1919 235163.444   98   11 313520.768 235163.444  25.0%   100  155s
  2566  2011 235163.444   98   11 313520.768 235163.444  25.0%  98.2  160s
  2696  2141 235163.444   67   13 313520.768 235163.444  25.0%  95.4  165s
  2829  2274 235163.444   82   13 313520.768 235163.444  25.0%  92.2  170s
