
Gurobi 12.0.3 (win64) logging started Mon Sep  7 23:47:25 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_libre\Swap_variable_3estaciones_160kW_Descomp\station_1_d152_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26358 rows, 53707 columns and 244684 nonzeros
Model fingerprint: 0x4f557783
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23428 rows and 43752 columns
Presolve time: 0.15s
Presolved: 2930 rows, 9955 columns, 32796 nonzeros
Variable types: 824 continuous, 9131 integer (8568 binary)
Found heuristic solution: objective 600304.35807
Found heuristic solution: objective 562130.28095
Root relaxation presolved: 2930 rows, 9955 columns, 32796 nonzeros


Root relaxation: objective 1.806962e+05, 14706 iterations, 1.42 seconds (2.37 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 180696.188    0   20 562130.281 180696.188  67.9%     -    2s
H    0     0                    285222.52108 180696.188  36.6%     -    2s
     0     0 180918.517    0   43 285222.521 180918.517  36.6%     -    2s
     0     0 180918.517    0   17 285222.521 180918.517  36.6%     -    3s
     0     0 180918.517    0   16 285222.521 180918.517  36.6%     -    3s
     0     0 180918.517    0   70 285222.521 180918.517  36.6%     -    3s
     0     0 180918.517    0   20 285222.521 180918.517  36.6%     -    4s
     0     0 180918.517    0   22 285222.521 180918.517  36.6%     -    4s
     0     0 180918.517    0   20 285222.521 180918.517  36.6%     -    4s
     0     2 180918.517    0   16 285222.521 180918.517  36.6%     -    5s
    35    37 180918.517    9  133 285222.521 180918.517  36.6%   730   10s
    72    74 180918.517   10    9 285222.521 180918.517  36.6%   769   15s
   101   103 180918.517   15  106 285222.521 180918.517  36.6%   845   20s
   125   127 180918.517    9  139 285222.521 180918.517  36.6%   871   25s
   151   153 180918.517   11   44 285222.521 180918.517  36.6%   945   30s
   182   184 180918.517   21   65 285222.521 180918.517  36.6%   946   35s
   203   205 180918.661   15   76 285222.521 180918.517  36.6%   953   40s
   227   229 185834.065   30  139 285222.521 180918.517  36.6%   968   45s
   260   262 180918.517   35   44 285222.521 180918.517  36.6%   948   50s
   286   288 180918.517   38   47 285222.521 180918.517  36.6%   909   58s
   297   299 180918.517   36   90 285222.521 180918.517  36.6%   898   60s
   318   320 180918.517   24   57 285222.521 180918.517  36.6%   904   65s
   342   344 186327.188   13   99 285222.521 180918.517  36.6%   913   70s
   364   366 180918.517   23   90 285222.521 180918.517  36.6%   914   82s
   378   380 180918.517   30   42 285222.521 180918.517  36.6%   923   85s
   396   398 183484.131   12  116 285222.521 180918.517  36.6%   930   90s
H  404   404                    285177.27162 180918.517  36.6%   928   91s
   422   424 180918.517   38   92 285177.272 180918.517  36.6%   930   95s
   445   447 180918.517   20   27 285177.272 180918.517  36.6%   944  100s
   471   473 180918.517   15   43 285177.272 180918.517  36.6%   945  105s
   490   492 180918.517   10   11 285177.272 180918.517  36.6%   952  110s
   502   504 180918.517   14   55 285177.272 180918.517  36.6%   949  115s
H  505   505                    285171.89894 180918.517  36.6%   948  115s
   512   513 180918.517   10   20 285171.899 180918.517  36.6%   944  124s
   514   514 180918.517   17   20 285171.899 180918.517  36.6%   941  128s
   517   516 182665.281   33   13 285171.899 180918.517  36.6%   935  131s
   520   518 180918.517   36   42 285171.899 180918.517  36.6%   930  136s
   522   520 262231.434   17   21 285171.899 180918.517  36.6%   926  140s
   525   522 180918.517   23   25 285171.899 180918.517  36.6%   921  146s
   534   528 180918.517   14   26 285171.899 180918.517  36.6%   905  151s
   554   543 180918.517   22  122 285171.899 180918.517  36.6%   968  155s
   582   562 180918.517   28  120 285171.899 180918.517  36.6%   951  160s
   591   568 180918.517   27  157 285171.899 180918.517  36.6%   949  165s
   621   588 180918.517   25   64 285171.899 180918.517  36.6%   938  170s
   650   607 180918.517   39   79 285171.899 180918.517  36.6%   919  175s
   677   625 180918.517   41   79 285171.899 180918.517  36.6%   918  180s
   698   639 180918.517   30   77 285171.899 180918.517  36.6%   898  185s
   717   652 180918.517   31   56 285171.899 180918.517  36.6%   892  190s
   745   670 180918.517   41   45 285171.899 180918.517  36.6%   888  195s
   779   693 180918.517   47   49 285171.899 180918.517  36.6%   873  200s
   803   709 180918.517   38   53 285171.899 180918.517  36.6%   893  205s
