
Gurobi 12.0.3 (win64) logging started Mon Sep  7 23:47:58 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_libre\Swap_variable_3estaciones_160kW_Descomp\station_2_d335_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26358 rows, 54733 columns and 249676 nonzeros
Model fingerprint: 0x7ba45f82
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [4e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23476 rows and 44287 columns
Presolve time: 0.27s
Presolved: 2882 rows, 10446 columns, 34356 nonzeros
Variable types: 824 continuous, 9622 integer (9084 binary)
Found heuristic solution: objective 546465.97195
Root relaxation presolved: 2882 rows, 10446 columns, 34356 nonzeros


Root relaxation: objective 1.787162e+05, 14007 iterations, 2.00 seconds (2.20 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 178716.189    0   47 546465.972 178716.189  67.3%     -    3s
H    0     0                    546271.97833 178716.189  67.3%     -    3s
     0     0 178716.189    0   38 546271.978 178716.189  67.3%     -    3s
     0     0 179412.938    0   87 546271.978 179412.938  67.2%     -    4s
     0     0 179412.938    0   69 546271.978 179412.938  67.2%     -    4s
     0     0 179412.938    0   15 546271.978 179412.938  67.2%     -    5s
     0     0 179412.938    0   21 546271.978 179412.938  67.2%     -    6s
     0     0 179412.938    0   40 546271.978 179412.938  67.2%     -    6s
     0     0 179412.938    0   24 546271.978 179412.938  67.2%     -    8s
     0     0 179412.938    0   24 546271.978 179412.938  67.2%     -    8s
H    0     0                    436158.53428 179412.938  58.9%     -    8s
H    0     0                    436105.44170 179412.938  58.9%     -    8s
H    0     0                    435476.66152 179412.938  58.8%     -    8s
H    0     0                    435453.23996 179412.938  58.8%     -    8s
H    0     0                    325049.22826 179412.938  44.8%     -    9s
H    0     0                    324345.05741 179412.938  44.7%     -    9s
H    0     0                    323606.82258 179412.938  44.6%     -    9s
H    0     0                    290260.22487 179412.938  38.2%     -    9s
H    0     0                    289975.26022 179412.938  38.1%     -    9s
H    0     0                    289532.30184 179412.938  38.0%     -    9s
H    0     0                    289530.89751 179412.938  38.0%     -   10s
     0     2 179412.938    0   22 289530.898 179412.938  38.0%     -   10s
    52    54 179412.938   24   19 289530.898 179412.938  38.0%  43.2   15s
   108   110 179412.938   30   23 289530.898 179412.938  38.0%  44.5   20s
   174   176 179412.938   41   21 289530.898 179412.938  38.0%  41.4   25s
H  243   243                    289392.43563 179412.938  38.0%  38.6   29s
   260   262 179412.938   55   19 289392.436 179412.938  38.0%  38.5   30s
   367   369 179412.938   77   19 289392.436 179412.938  38.0%  37.9   35s
   472   474 179412.938   91   19 289392.436 179412.938  38.0%  38.0   40s
   512   513 179412.938   22   24 289392.436 179412.938  38.0%  37.7   46s
   514   514 179412.938   57   33 289392.436 179412.938  38.0%  37.5   51s
   519   518 179412.938   40   17 289392.436 179412.938  38.0%  37.1   55s
H  520   491                    289295.57088 179412.938  38.0%  37.1   57s
   524   494 179412.938   31   23 289295.571 179412.938  38.0%  36.8   60s
   534   501 179412.938   88   11 289295.571 179412.938  38.0%  36.1   65s
   560   520 179412.938   20   20 289295.571 179412.938  38.0%   124   70s
   598   545 179412.938   16   15 289295.571 179412.938  38.0%   116   75s
H  612   528                    289219.66939 179412.938  38.0%   114   76s
   638   547 179412.938   36   16 289219.669 179412.938  38.0%   110   80s
   670   568 179412.938   23   12 289219.669 179412.938  38.0%   105   85s
   703   590 179412.938   94   14 289219.669 179412.938  38.0%   101   90s
   736   612 179412.938   56   18 289219.669 179412.938  38.0%  96.6   95s
H  742   590                    289081.20752 179412.938  37.9%  95.8   95s
H  768   585                    288987.79731 179412.938  37.9%  92.6  100s
   780   595 179412.938   78   18 288987.797 179412.938  37.9%  91.4  105s
H  794   580                    288849.33544 179412.938  37.9%  90.1  107s
H  804   566                    288572.41169 179412.938  37.8%  89.3  108s
   813   574 179412.938  149   14 288572.412 179412.938  37.8%  88.4  110s
   850   598 179412.938   72   14 288572.412 179412.938  37.8%  84.7  115s
H  872   592                    288373.18032 179412.938  37.8%  82.6  118s
   872   594 179412.938   83   16 288373.180 179412.938  37.8%  82.6  123s
   884   602 179412.938   89   14 288373.180 179412.938  37.8%  81.5  125s
   920   626 179412.938  107   14 288373.180 179412.938  37.8%  78.6  130s
