
Gurobi 12.0.3 (win64) logging started Tue Sep  8 01:44:07 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_libre\Swap_variable_3estaciones_320kW_Descomp\station_3_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26358 rows, 53707 columns and 243503 nonzeros
Model fingerprint: 0xcce2294c
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23414 rows and 43747 columns
Presolve time: 0.25s
Presolved: 2944 rows, 9960 columns, 31817 nonzeros
Variable types: 824 continuous, 9136 integer (8566 binary)
Root relaxation presolved: 2944 rows, 9960 columns, 31817 nonzeros


Root relaxation: objective 1.957496e+05, 13443 iterations, 1.66 seconds (1.84 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 195749.647    0   62          - 195749.647      -     -    2s
H    0     0                    320619.98084 195749.647  38.9%     -    2s
H    0     0                    320448.88931 195749.647  38.9%     -    2s
H    0     0                    320397.67755 195749.647  38.9%     -    2s
H    0     0                    319613.37266 195749.647  38.8%     -    3s
     0     0 195761.334    0  129 319613.373 195761.334  38.8%     -    4s
     0     0 196403.171    0  121 319613.373 196403.171  38.5%     -    4s
     0     0 196403.171    0  166 319613.373 196403.171  38.5%     -    4s
     0     0 196403.171    0   73 319613.373 196403.171  38.5%     -    5s
     0     0 196403.171    0  111 319613.373 196403.171  38.5%     -    5s
     0     0 196403.171    0  104 319613.373 196403.171  38.5%     -    7s
     0     0 196403.171    0  162 319613.373 196403.171  38.5%     -    7s
     0     0 196403.171    0  119 319613.373 196403.171  38.5%     -    8s
     0     0 196403.171    0  118 319613.373 196403.171  38.5%     -    8s
H    0     0                    237613.25959 196403.171  17.3%     -    9s
H    0     0                    237192.19005 196403.171  17.2%     -    9s
H    0     0                    237177.37807 196403.171  17.2%     -    9s
     0     2 196403.171    0  105 237177.378 196403.171  17.2%     -    9s
     1     3 196403.171    1  149 237177.378 196403.171  17.2%  1095   10s
    31    33 196404.273    4  197 237177.378 196403.992  17.2%   809   15s
    71    73 196404.483    5  164 237177.378 196404.240  17.2%   643   20s
H   81    81                    236017.34486 196404.264  16.8%   612   21s
   106   108 196404.436   10  190 236017.345 196404.416  16.8%   543   25s
H  135   135                    236016.96537 196404.483  16.8%   517   28s
   142   144 196404.904    8  191 236016.965 196404.505  16.8%   511   30s
   181   183 196404.946    9  183 236016.965 196404.527  16.8%   536   35s
   205   207 196405.636    5  271 236016.965 196404.628  16.8%   570   40s
   249   251 196405.334   11  163 236016.965 196404.806  16.8%   540   45s
   301   303 196404.806   17  161 236016.965 196404.806  16.8%   454   50s
   377   379 196404.806   19  181 236016.965 196404.806  16.8%   374   55s
   437   439 196404.808   19  232 236016.965 196404.806  16.8%   334   60s
   494   496 196404.808   16  169 236016.965 196404.806  16.8%   301   65s
   512   513 196417.603   10  118 236016.965 196404.806  16.8%   291   71s
   515   515 196417.603   21  121 236016.965 196404.806  16.8%   289   76s
   522   520 196406.246   16  186 236016.965 196404.806  16.8%   285   80s
   525   522 196405.147   10  279 236016.965 196404.806  16.8%   284   85s
   528   524 196417.603   21  306 236016.965 196404.806  16.8%   282   90s
   532   526 196411.398    5  382 236016.965 196404.806  16.8%   280   96s
   535   528 196405.692   11  268 236016.965 196405.692  16.8%   278  101s
   540   532 196417.603   24  250 236016.965 196406.008  16.8%   276  105s
   551   539 196406.251   17  253 236016.965 196406.251  16.8%   270  110s
   561   548 196419.442   14  340 236016.965 196417.239  16.8%   369  115s
   579   560 196434.840   12  284 236016.965 196422.908  16.8%   385  120s
   595   570 196435.069   22  291 236016.965 196428.663  16.8%   400  125s
   618   586 196432.036   17  145 236016.965 196432.036  16.8%   417  130s
   640   600 196447.083   21  125 236016.965 196432.036  16.8%   448  135s
   659   613 196432.036   18  116 236016.965 196432.036  16.8%   486  140s
   675   624 196435.299   20  243 236016.965 196432.036  16.8%   526  145s
   688   632 196432.036   15  132 236016.965 196432.036  16.8%   550  150s
   711   648 196450.198   16  280 236016.965 196434.219  16.8%   577  155s
   735   664 196465.378   18  168 236016.965 196435.901  16.8%   586  160s
   760   680 196438.967   17  240 236016.965 196436.813  16.8%   595  168s
   767   685 196443.419   24  210 236016.965 196437.104  16.8%   602  170s
