
Gurobi 12.0.3 (win64) logging started Sun Sep  6 21:34:35 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_3_d91_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 245230 nonzeros
Model fingerprint: 0x3859cb56
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25510 rows and 44910 columns
Presolve time: 0.15s
Presolved: 1392 rows, 8797 columns, 29333 nonzeros
Variable types: 216 continuous, 8581 integer (8164 binary)
Root relaxation presolved: 1392 rows, 8797 columns, 29333 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.534958e+05, 4270 iterations, 0.09 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 253495.841    0   61          - 253495.841      -     -    0s
     0     0 263085.800    0   54          - 263085.800      -     -    0s
     0     0 265059.185    0    9          - 265059.185      -     -    1s
     0     0 265059.185    0   15          - 265059.185      -     -    1s
     0     0 265059.185    0   16          - 265059.185      -     -    1s
     0     0 265059.185    0   22          - 265059.185      -     -    1s
     0     0 265059.185    0   27          - 265059.185      -     -    2s
     0     0 265059.185    0   25          - 265059.185      -     -    2s
H    0     0                    621215.54115 265059.185  57.3%     -    3s
H    0     0                    621214.78575 265059.185  57.3%     -    3s
H    0     0                    601521.44442 265059.185  55.9%     -    3s
H    0     0                    449372.53345 265059.185  41.0%     -    3s
H    0     0                    429491.69615 265059.185  38.3%     -    3s
H    0     0                    429484.08413 265059.185  38.3%     -    3s
H    0     0                    409790.74280 265059.185  35.3%     -    3s
H    0     0                    409767.73464 265059.185  35.3%     -    3s
H    0     0                    408302.49199 265059.185  35.1%     -    3s
H    0     0                    408294.29218 265059.185  35.1%     -    3s
     0     2 265059.185    0   23 408294.292 265059.185  35.1%     -    4s
    16    18 265059.185    4   48 408294.292 265059.185  35.1%  97.9    5s
H   78    78                    408267.84574 265059.185  35.1%  68.1    8s
H   81    81                    408241.39931 265059.185  35.1%  67.1    8s
   106   108 265059.185   35   10 408241.399 265059.185  35.1%  56.3   10s
H  130   130                    408239.87036 265059.185  35.1%  50.8   11s
H  156   156                    408182.79951 265059.185  35.1%  48.1   12s
   198   200 265059.185   38   29 408182.800 265059.185  35.1%  42.9   15s
H  208   208                    408182.21173 265059.185  35.1%  42.1   17s
   274   276 265059.185   32   27 408182.212 265059.185  35.1%  60.8   20s
H  297   297                    408159.20356 265059.185  35.1%  64.4   20s
H  300   300                    284740.97883 265059.185  6.91%  64.7   21s
H  300   300                    284579.27003 265059.185  6.86%  64.7   21s
   362   364 265059.185   34   30 284579.270 265059.185  6.86%  81.6   25s
   486   488 265059.185   38   62 284579.270 265059.185  6.86%  95.2   31s
   517   516 265059.185   38   16 284579.270 265059.185  6.86%   100   35s
   524   521 265059.185   33   13 284579.270 265059.185  6.86%  98.6   40s
   585   564 265059.185   42   35 284579.270 265059.185  6.86%   140   45s
   672   622 265059.185   38   12 284579.270 265059.185  6.86%   126   50s
   779   693 265059.185   67   14 284579.270 265059.185  6.86%   112   55s
   863   749 265059.185   77   22 284579.270 265059.185  6.86%   103   60s
   929   793 265059.185   83   14 284579.270 265059.185  6.86%  97.9   65s
   946   804 265059.185   71   14 284579.270 265059.185  6.86%  97.0   70s
  1033   862 265059.185   90   14 284579.270 265059.185  6.86%  92.4   75s
  1177   956 265059.185   77   12 284579.270 265059.185  6.86%  85.6   80s
  1316  1049 265059.185   64   12 284579.270 265059.185  6.86%  78.2   85s
  1458  1144 265059.185   83   12 284579.270 265059.185  6.86%  71.9   90s
  1617  1250 265059.185   85   12 284579.270 265059.185  6.86%  66.2   95s
  1772  1353 265059.185   73   12 284579.270 265059.185  6.86%  61.4  100s
  1916  1449 265059.185   91   14 284579.270 265059.185  6.86%  57.7  105s
  2029  1524 265059.185   98   14 284579.270 265059.185  6.86%  55.5  110s
  2172  1642 265059.185   98   18 284579.270 265059.185  6.86%  53.0  115s
  2311  1781 265059.185   97   14 284579.270 265059.185  6.86%  50.8  120s
  2450  1920 265059.185  100   20 284579.270 265059.185  6.86%  48.9  125s
  2586  2056 265059.185   98   14 284579.270 265059.185  6.86%  47.2  130s
