
Gurobi 12.0.3 (win64) logging started Tue Sep  8 00:42:19 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_2_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26932 rows, 54733 columns and 249097 nonzeros
Model fingerprint: 0x12a40d09
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25508 rows and 45396 columns
Presolve time: 0.26s
Presolved: 1424 rows, 9337 columns, 29413 nonzeros
Variable types: 216 continuous, 9121 integer (8776 binary)
Found heuristic solution: objective 727447.64774
Root relaxation presolved: 1424 rows, 9337 columns, 29413 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.269519e+05, 4222 iterations, 0.10 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 226951.934    0   41 727447.648 226951.934  68.8%     -    0s
     0     0 238245.392    0   19 727447.648 238245.392  67.2%     -    1s
     0     0 238245.392    0   13 727447.648 238245.392  67.2%     -    1s
     0     0 238245.392    0   15 727447.648 238245.392  67.2%     -    1s
H    0     0                    565390.98995 238245.392  57.9%     -    2s
H    0     0                    402360.91484 238245.392  40.8%     -    2s
H    0     0                    401046.89752 238245.392  40.6%     -    2s
H    0     0                    366118.13480 238245.392  34.9%     -    2s
     0     0 238245.392    0   15 366118.135 238245.392  34.9%     -    2s
     0     0 238245.392    0   14 366118.135 238245.392  34.9%     -    3s
     0     0 238245.392    0   22 366118.135 238245.392  34.9%     -    3s
     0     0 238245.392    0   17 366118.135 238245.392  34.9%     -    3s
     0     0 238245.392    0   15 366118.135 238245.392  34.9%     -    3s
     0     2 238245.392    0   14 366118.135 238245.392  34.9%     -    4s
     9    11 238245.392    5   27 366118.135 238245.392  34.9%   258    5s
    96    98 238245.392   37   13 366118.135 238245.392  34.9%  48.2   10s
H  130   130                    366103.32282 238245.392  34.9%  44.8   11s
   202   204 238245.392   58   10 366103.323 238245.392  34.9%  42.5   15s
H  208   208                    366094.72682 238245.392  34.9%  41.9   15s
H  227   227                    365092.84068 238245.392  34.7%  41.9   16s
H  234   234                    365088.20252 238245.392  34.7%  42.2   16s
H  234   234                    364113.22928 238245.392  34.6%  42.2   16s
   286   288 238245.392   58   10 364113.229 238245.392  34.6%  44.0   20s
   378   380 238245.392   72   10 364113.229 238245.392  34.6%  50.1   25s
H  449   449                    364094.67663 238245.392  34.6%  48.9   28s
   458   460 238245.392   81   10 364094.677 238245.392  34.6%  49.2   30s
   516   516 238245.392   60   18 364094.677 238245.392  34.6%  47.4   35s
   524   521 238245.392   10   12 364094.677 238245.392  34.6%  46.7   40s
   541   534 238245.392   17   23 364094.677 238245.392  34.6%   105   45s
   589   566 238245.392   31   21 364094.677 238245.392  34.6%   100   50s
   639   600 238245.392   44   17 364094.677 238245.392  34.6%  93.0   55s
   693   636 238245.392   45   19 364094.677 238245.392  34.6%  87.1   60s
   740   667 238245.392   36   15 364094.677 238245.392  34.6%  82.4   65s
   793   702 238245.392   43   15 364094.677 238245.392  34.6%  77.7   71s
   830   727 238245.392   49   15 364094.677 238245.392  34.6%  74.7   75s
   883   762 238245.392   40   19 364094.677 238245.392  34.6%  70.9   80s
   923   789 238245.392   38   19 364094.677 238245.392  34.6%  68.3   87s
   941   801 238245.392   50   15 364094.677 238245.392  34.6%  67.3   90s
   998   839 238245.392   58   17 364094.677 238245.392  34.6%  64.1   95s
  1057   878 238245.392   53   15 364094.677 238245.392  34.6%  61.3  100s
  1123   922 238245.392   46   21 364094.677 238245.392  34.6%  58.3  105s
  1178   959 238245.392   42   15 364094.677 238245.392  34.6%  56.1  110s
  1240  1000 238245.392   50   15 364094.677 238245.392  34.6%  53.9  115s
  1307  1045 238245.392   57   15 364094.677 238245.392  34.6%  51.7  120s
  1370  1087 238245.392   58   17 364094.677 238245.392  34.6%  50.0  125s
  1440  1134 238245.392   70   15 364094.677 238245.392  34.6%  48.0  130s
  1500  1174 238245.392   62   15 364094.677 238245.392  34.6%  46.6  135s
  1561  1214 238245.392   71   15 364094.677 238245.392  34.6%  45.3  140s
  1592  1235 238245.392   53   15 364094.677 238245.392  34.6%  44.8  145s
