
Gurobi 12.0.3 (win64) logging started Tue Sep  8 00:41:20 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_2_d32_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 54733 columns and 249037 nonzeros
Model fingerprint: 0x05979cf1
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [3e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25538 rows and 45427 columns
Presolve time: 0.17s
Presolved: 1364 rows, 9306 columns, 29293 nonzeros
Variable types: 216 continuous, 9090 integer (8776 binary)
Found heuristic solution: objective 616614.88775
Root relaxation presolved: 1364 rows, 9306 columns, 29293 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.010149e+05, 4215 iterations, 0.06 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 201014.939    0   27 616614.888 201014.939  67.4%     -    0s
H    0     0                    615420.30390 201014.939  67.3%     -    0s
H    0     0                    615416.31326 201014.939  67.3%     -    0s
     0     0 201754.647    0    7 615416.313 201754.647  67.2%     -    0s
H    0     0                    615328.60698 201754.647  67.2%     -    0s
H    0     0                    615301.38748 201754.647  67.2%     -    0s
H    0     0                    615274.16797 201754.647  67.2%     -    0s
H    0     0                    490545.71538 201754.647  58.9%     -    0s
H    0     0                    363493.77342 201754.647  44.5%     -    1s
H    0     0                    362472.06392 201754.647  44.3%     -    1s
H    0     0                    327387.35080 201754.647  38.4%     -    1s
     0     0 201754.647    0   13 327387.351 201754.647  38.4%     -    1s
     0     0 201754.647    0   12 327387.351 201754.647  38.4%     -    1s
     0     0 201754.647    0   12 327387.351 201754.647  38.4%     -    2s
     0     0 201754.647    0   13 327387.351 201754.647  38.4%     -    2s
     0     0 201754.647    0   11 327387.351 201754.647  38.4%     -    2s
     0     2 201754.647    0    9 327387.351 201754.647  38.4%     -    2s
    43    45 201754.647   22   21 327387.351 201754.647  38.4%   226    5s
   146   148 201754.647   73   17 327387.351 201754.647  38.4%  89.2   10s
   260   258 201754.647  130   14 327387.351 201754.647  38.4%  63.8   15s
H  324   318                    327374.51817 201754.647  38.4%  60.0   17s
   339   335 201754.647  169   26 327374.518 201754.647  38.4%  66.9   20s
   416   410 201754.647   48   16 327374.518 201754.647  38.4%  72.1   27s
   470   458 201754.647   74   28 327374.518 201754.647  38.4%  79.7   30s
   524   506 201754.647   19   22 327374.518 201754.647  38.4%  81.5   35s
   529   510 201754.647   84   23 327374.518 201754.647  38.4%  80.8   40s
   542   518 201754.647  128   12 327374.518 201754.647  38.4%  78.8   45s
   600   559 201754.647   32   11 327374.518 201754.647  38.4%   131   50s
   670   606 201754.647   41   15 327374.518 201754.647  38.4%   120   55s
H  725   613                    327276.41611 201754.647  38.4%   113   60s
   757   637 201754.647   48   11 327276.416 201754.647  38.4%   109   65s
H  777   623                    327273.95042 201754.647  38.4%   107   66s
H  803   616                    327241.24476 201754.647  38.3%   104   69s
H  803   594                    327238.77908 201754.647  38.3%   104   69s
H  803   573                    327190.46494 201754.647  38.3%   104   69s
   813   582 201754.647   40   11 327190.465 201754.647  38.3%   103   70s
H  855   587                    327163.42559 201754.647  38.3%  98.9   73s
   875   602 201754.647   48   11 327163.426 201754.647  38.3%  97.1   75s
H  907   603                    327065.52723 201754.647  38.3%  94.3   80s
   952   635 201754.647   54   11 327065.527 201754.647  38.3%  91.0   85s
  1028   685 201754.647   52   13 327065.527 201754.647  38.3%  86.0   90s
  1099   733 201754.647   43   19 327065.527 201754.647  38.3%  82.1   95s
  1169   779 201754.647   49   11 327065.527 201754.647  38.3%  78.5  100s
  1248   832 201754.647   58   11 327065.527 201754.647  38.3%  74.7  105s
  1322   881 201754.647   64   11 327065.527 201754.647  38.3%  72.9  110s
  1371   914 201754.647   57   11 327065.527 201754.647  38.3%  73.5  117s
  1408   939 201754.647   65   13 327065.527 201754.647  38.3%  72.7  120s
  1481   987 201754.647   62   11 327065.527 201754.647  38.3%  71.3  125s
  1553  1035 201754.647   74   12 327065.527 201754.647  38.3%  70.6  130s
  1623  1082 201754.647   42   13 327065.527 201754.647  38.3%  69.6  135s
  1697  1156 201754.647   47   11 327065.527 201754.647  38.3%  67.5  140s
