
Gurobi 12.0.3 (win64) logging started Sun Sep  6 22:59:59 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_3_d335_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26872 rows, 53707 columns and 243987 nonzeros
Model fingerprint: 0x2d939c6d
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [4e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25514 rows and 44922 columns
Presolve time: 0.19s
Presolved: 1358 rows, 8785 columns, 27985 nonzeros
Variable types: 216 continuous, 8569 integer (8164 binary)
Root relaxation presolved: 1358 rows, 8785 columns, 27985 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 1.975610e+05, 3783 iterations, 0.06 seconds (0.06 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 197560.972    0   22          - 197560.972      -     -    0s
     0     0 198253.364    0   14          - 198253.364      -     -    1s
     0     0 198253.364    0   35          - 198253.364      -     -    1s
     0     0 198253.364    0   32          - 198253.364      -     -    1s
     0     0 198253.364    0   27          - 198253.364      -     -    2s
     0     0 198253.364    0   31          - 198253.364      -     -    2s
     0     0 198253.364    0   13          - 198253.364      -     -    2s
     0     0 198253.364    0   12          - 198253.364      -     -    2s
H    0     0                    614671.89014 198253.364  67.7%     -    3s
H    0     0                    614657.92274 198253.364  67.7%     -    3s
H    0     0                    614006.84446 198253.364  67.7%     -    3s
H    0     0                    613992.87705 198253.364  67.7%     -    3s
H    0     0                    361780.34557 198253.364  45.2%     -    3s
H    0     0                    326143.23469 198253.364  39.2%     -    3s
H    0     0                    326125.27444 198253.364  39.2%     -    3s
     0     2 198253.364    0   10 326125.274 198253.364  39.2%     -    4s
H    9     9                    325242.48962 198253.364  39.0%   194    4s
    11    13 198253.364    6   22 325242.490 198253.364  39.0%   172    5s
H   78    78                    325237.83382 198253.364  39.0%   120    9s
    84    86 198253.364   43   31 325237.834 198253.364  39.0%   112   10s
   158   160 198253.364   80   14 325237.834 198253.364  39.0%  81.2   15s
H  190   188                    324568.84083 198253.364  38.9%  70.7   16s
   234   234 198253.364  117   18 324568.841 198253.364  38.9%  62.2   21s
   336   336 198253.364  168   24 324568.841 198253.364  38.9%  57.2   25s
   494   490 198253.364   36   15 324568.841 198253.364  38.9%  59.6   30s
H  518   486                    324564.18503 198253.364  38.9%  57.6   33s
   521   488 198253.364   96   17 324564.185 198253.364  38.9%  57.3   35s
   529   493 198253.364   67   12 324564.185 198253.364  38.9%  56.4   40s
   550   509 198253.364   22   28 324564.185 198253.364  38.9%   105   45s
   619   555 198253.364   36   17 324564.185 198253.364  38.9%  95.6   50s
H  641   543                    324559.52923 198253.364  38.9%  92.7   51s
H  667   533                    323899.13876 198253.364  38.8%  90.1   54s
H  667   511                    323238.58235 198253.364  38.7%  90.1   55s
H  672   493                    322355.79753 198253.364  38.5%  89.5   55s
H  745   520                    322350.27130 198253.364  38.5%  82.3   58s
   777   544 198253.364   82   20 322350.271 198253.364  38.5%  79.5   60s
   870   604 198253.364   65   11 322350.271 198253.364  38.5%  77.3   65s
   941   649 198253.364  101   17 322350.271 198253.364  38.5%  72.8   70s
  1051   714 198253.364  154   15 322350.271 198253.364  38.5%  68.4   75s
  1182   798 198253.364   87   20 322350.271 198253.364  38.5%  62.1   80s
  1306   878 198253.364  148   22 322350.271 198253.364  38.5%  58.3   85s
  1403   935 198253.364  195   22 322350.271 198253.364  38.5%  58.7   90s
  1567   980 198253.364  264   15 322350.271 198253.364  38.5%  54.7   95s
  1677  1022 198253.364   44   23 322350.271 198253.364  38.5%  53.6  100s
  1785  1116 198253.364   94   26 322350.271 198253.364  38.5%  52.0  105s
  1866  1197 198253.364  135   26 322350.271 198253.364  38.5%  51.2  110s
  1973  1302 198253.364  188   17 322350.271 198253.364  38.5%  49.9  115s
  2022  1341 198253.364  211   13 322350.271 198253.364  38.5%  49.3  120s
  2113  1400 198253.364  251   16 322350.271 198253.364  38.5%  48.2  125s
  2203  1458 198253.364  289   22 322350.271 198253.364  38.5%  48.4  130s
  2279  1528 198253.364   45   17 322350.271 198253.364  38.5%  50.5  135s
  2356  1593 198253.364   81   22 322350.271 198253.364  38.5%  49.3  140s
