
Gurobi 12.0.3 (win64) logging started Mon Sep  7 00:15:07 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_640kW_Descomp\station_2_d91_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26932 rows, 54733 columns and 248399 nonzeros
Model fingerprint: 0x20af26cd
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 6e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25355 rows and 45294 columns
Presolve time: 0.17s
Presolved: 1577 rows, 9439 columns, 29807 nonzeros
Variable types: 216 continuous, 9223 integer (8676 binary)
Root relaxation presolved: 1577 rows, 9439 columns, 29807 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.334233e+05, 4594 iterations, 0.07 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 233423.301    0   22          - 233423.301      -     -    0s
     0     0 233423.301    0   33          - 233423.301      -     -    0s
     0     0 233816.640    0   35          - 233816.640      -     -    0s
     0     0 233816.640    0   43          - 233816.640      -     -    0s
     0     0 233816.640    0   10          - 233816.640      -     -    1s
H    0     0                    551637.50788 233816.640  57.6%     -    1s
H    0     0                    311913.33875 233816.640  25.0%     -    1s
H    0     0                    311286.22787 233816.640  24.9%     -    1s
H    0     0                    310644.95811 233816.640  24.7%     -    1s
     0     0 233816.640    0   12 310644.958 233816.640  24.7%     -    1s
     0     0 233816.640    0    9 310644.958 233816.640  24.7%     -    1s
     0     0 233816.640    0   20 310644.958 233816.640  24.7%     -    2s
     0     0 233816.640    0   24 310644.958 233816.640  24.7%     -    2s
     0     0 233816.640    0   11 310644.958 233816.640  24.7%     -    2s
     0     0 233816.640    0    9 310644.958 233816.640  24.7%     -    2s
     0     2 233816.640    0    9 310644.958 233816.640  24.7%     -    3s
    18    20 233816.640    9   97 310644.958 233816.640  24.7%   160    5s
    81    83 233816.640   41   21 310644.958 233816.640  24.7%   156   10s
H  108   108                    310630.79924 233816.640  24.7%   128   12s
   164   166 233816.640   82   29 310630.799 233816.640  24.7%   122   15s
   243   243 233816.640   38   27 310630.799 233816.640  24.7%   109   20s
H  286   284                    310473.28791 233816.640  24.7%   116   23s
   312   312 233816.640   32   14 310473.288 233816.640  24.7%   111   25s
   340   340 233816.640    8   94 310473.288 233816.640  24.7%   115   30s
   414   412 233816.640   45   12 310473.288 233816.640  24.7%   103   35s
   486   484 233816.640   81   14 310473.288 233816.640  24.7%  92.6   41s
   516   512 233816.640   41   28 310473.288 233816.640  24.7%  90.3   45s
   523   517 233816.640   71   39 310473.288 233816.640  24.7%  89.0   50s
   528   520 233816.640   72   15 310473.288 233816.640  24.7%  88.2   55s
   534   524 233816.640   13   25 310473.288 233816.640  24.7%  87.2   60s
   565   547 233816.640   21   13 310473.288 233816.640  24.7%   144   65s
   630   590 233816.640   37   10 310473.288 233816.640  24.7%   140   70s
   680   624 233816.640   46   10 310473.288 233816.640  24.7%   134   75s
H  720   621                    310068.98058 233816.640  24.6%   129   78s
   727   628 233816.640   54   12 310068.981 233816.640  24.6%   129   80s
H  746   613                    309441.86970 233816.640  24.4%   126   81s
H  772   606                    309128.31426 233816.640  24.4%   123   84s
   781   614 233816.640   67   10 309128.314 233816.640  24.4%   122   85s
   817   638 233816.640   71   12 309128.314 233816.640  24.4%   117   90s
   889   686 233816.640   78   14 309128.314 233816.640  24.4%   110   95s
   966   737 233816.640   95   10 309128.314 233816.640  24.4%   104  100s
  1043   789 233816.640  108   10 309128.314 233816.640  24.4%  98.5  105s
  1087   818 233816.640  111   10 309128.314 233816.640  24.4%  96.1  110s
  1159   866 233816.640  104   18 309128.314 233816.640  24.4%  93.5  115s
  1245   923 233816.640   86   14 309128.314 233816.640  24.4%  90.4  120s
  1321   974 233816.640  101   10 309128.314 233816.640  24.4%  87.6  125s
  1406  1031 233816.640  112   22 309128.314 233816.640  24.4%  85.2  131s
  1482  1081 233816.640  130   10 309128.314 233816.640  24.4%  83.6  135s
  1559  1133 233816.640  143   10 309128.314 233816.640  24.4%  81.4  140s
  1649  1193 233816.640  103   21 309128.314 233816.640  24.4%  79.6  145s
  1702  1228 233816.640  106   10 309128.314 233816.640  24.4%  78.6  150s
