
Gurobi 12.0.3 (win64) logging started Tue Sep  8 02:26:41 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_640kW_Descomp\station_3_d91_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 243349 nonzeros
Model fingerprint: 0x1644e451
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 6e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25331 rows and 44777 columns
Presolve time: 0.17s
Presolved: 1571 rows, 8930 columns, 27505 nonzeros
Variable types: 216 continuous, 8714 integer (8258 binary)
Root relaxation presolved: 1571 rows, 8930 columns, 27505 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.340902e+05, 4588 iterations, 0.06 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 234090.172    0   28          - 234090.172      -     -    0s
H    0     0                    311338.98060 234090.172  24.8%     -    0s
H    0     0                    311333.61012 234090.172  24.8%     -    0s
H    0     0                    311128.71654 234090.172  24.8%     -    0s
     0     0 234090.172    0   25 311128.717 234090.172  24.8%     -    0s
     0     0 234662.803    0   48 311128.717 234662.803  24.6%     -    1s
     0     0 234662.803    0   49 311128.717 234662.803  24.6%     -    1s
     0     0 234662.803    0   17 311128.717 234662.803  24.6%     -    1s
     0     0 234662.803    0   41 311128.717 234662.803  24.6%     -    1s
     0     0 234662.803    0   14 311128.717 234662.803  24.6%     -    1s
     0     0 234662.803    0   21 311128.717 234662.803  24.6%     -    2s
     0     0 234662.803    0   50 311128.717 234662.803  24.6%     -    2s
     0     0 234662.803    0   54 311128.717 234662.803  24.6%     -    2s
     0     0 234662.803    0   53 311128.717 234662.803  24.6%     -    2s
     0     0 234662.803    0   70 311128.717 234662.803  24.6%     -    2s
     0     0 234662.803    0   39 311128.717 234662.803  24.6%     -    3s
     0     0 234662.803    0   39 311128.717 234662.803  24.6%     -    3s
     0     2 234662.803    0   37 311128.717 234662.803  24.6%     -    3s
    18    20 234662.803   10   58 311128.717 234662.803  24.6%   607    5s
    57    59 234662.803   30   40 311128.717 234662.803  24.6%   479   10s
H  260   260                    310501.60566 234662.803  24.4%   150   14s
   260   262 234662.803   78   17 310501.606 234662.803  24.4%   150   16s
   397   399 234662.803  109   26 310501.606 234662.803  24.4%   128   20s
   521   519 234662.804   93   48 310501.606 234662.804  24.4%   115   25s
   531   526 234662.804  116   26 310501.606 234662.804  24.4%   113   30s
   582   562 234662.804   35   26 310501.606 234662.804  24.4%   170   35s
   643   602 234662.804   53   17 310501.606 234662.804  24.4%   158   40s
   717   652 234662.804   63   17 310501.606 234662.804  24.4%   145   45s
   795   704 234662.804   58   19 310501.606 234662.804  24.4%   134   50s
   860   747 234662.804   66   17 310501.606 234662.804  24.4%   126   55s
   915   784 234662.804   70   16 310501.606 234662.804  24.4%   121   60s
   964   816 234662.804   80   18 310501.606 234662.804  24.4%   116   65s
  1012   848 234662.804   87   16 310501.606 234662.804  24.4%   112   70s
  1083   896 234662.804   89   46 310501.606 234662.804  24.4%   115   76s
  1129   926 234662.804   74   36 310501.606 234662.804  24.4%   131   80s
  1207   978 234662.804   91   36 310501.606 234662.804  24.4%   146   85s
  1265  1017 234662.804   94   28 310501.606 234662.804  24.4%   159   90s
  1332  1062 234662.804   95   32 310501.606 234662.804  24.4%   169   96s
  1380  1094 234662.804   84   19 310501.606 234662.804  24.4%   182  100s
  1462  1148 234662.804   90   19 310501.606 234662.804  24.4%   174  105s
  1544  1203 234662.804   88   52 310501.606 234662.804  24.4%   190  110s
  1605  1244 234662.804   65   34 310501.606 234662.804  24.4%   208  115s
  1642  1268 234662.804   93   33 310501.606 234662.804  24.4%   221  120s
  1717  1318 234662.804   69   56 310501.606 234662.804  24.4%   246  125s
  1780  1360 234662.804   67   79 310501.606 234662.804  24.4%   278  130s
  1822  1388 234662.804   63   47 310501.606 234662.804  24.4%   292  135s
  1928  1459 234662.804  124   21 310501.606 234662.804  24.4%   286  140s
  2014  1516 234662.804  132   21 310501.606 234662.804  24.4%   275  145s
  2062  1548 234662.804  136   21 310501.606 234662.804  24.4%   269  150s
  2155  1622 234662.804  147   19 310501.606 234662.804  24.4%   260  155s
