
Gurobi 12.0.3 (win64) logging started Tue Sep  8 03:52:04 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_482\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_2_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26932 rows, 54733 columns and 251095 nonzeros
Model fingerprint: 0x67cbb77c
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25549 rows and 45426 columns
Presolve time: 0.19s
Presolved: 1383 rows, 9307 columns, 30359 nonzeros
Variable types: 216 continuous, 9091 integer (8776 binary)
Root relaxation presolved: 1383 rows, 9307 columns, 30359 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.547812e+05, 4150 iterations, 0.07 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 254781.176    0   77          - 254781.176      -     -    0s
     0     0 254781.176    0  105          - 254781.176      -     -    0s
H    0     0                    290624.71014 254781.176  12.3%     -    0s
H    0     0                    283621.79157 254810.118  10.2%     -    0s
     0     0 257312.935    0  138 283621.792 257312.935  9.28%     -    1s
     0     0 266001.996    0   10 283621.792 266001.996  6.21%     -    1s
     0     0 266001.996    0   12 283621.792 266001.996  6.21%     -    1s
     0     0 266001.996    0   27 283621.792 266001.996  6.21%     -    2s
     0     0 266001.996    0   46 283621.792 266001.996  6.21%     -    2s
     0     0 266001.996    0   10 283621.792 266001.996  6.21%     -    2s
     0     2 266001.996    0    8 283621.792 266001.996  6.21%     -    3s
    26    28 266002.005    8   54 283621.792 266001.996  6.21%   192    5s
H   54    54                    283621.72610 266001.996  6.21%   207    7s
H   54    54                    283621.70855 266001.996  6.21%   207    7s
    86    88 266001.996   16   27 283621.709 266001.996  6.21%   178   10s
   162   164 266001.996   48   19 283621.709 266001.996  6.21%   115   15s
   213   215 266001.996   64   54 283621.709 266001.996  6.21%   120   20s
   317   319 266001.996   73   13 283621.709 266001.996  6.21%  95.3   25s
   392   392 266001.996   66   23 283621.709 266001.996  6.21%  93.6   30s
   446   446 266001.996   46   23 283621.709 266001.996  6.21%  86.0   35s
   513   512 266001.996   41   10 283621.709 266001.996  6.21%  80.8   40s
   523   519 266001.996   47   28 283621.709 266001.996  6.21%  79.2   45s
   543   534 266001.996   19   20 283621.709 266001.996  6.21%   116   50s
   591   566 266001.996   32   46 283621.709 266001.996  6.21%   136   55s
   636   596 266001.996   43   24 283621.709 266001.996  6.21%   146   60s
   688   631 266001.996   56   17 283621.709 266001.996  6.21%   137   65s
   756   676 266001.996   70   28 283621.709 266001.996  6.21%   129   70s
   822   720 266001.996   73   28 283621.709 266001.996  6.21%   123   75s
   882   760 266001.996   77   19 283621.709 266001.996  6.21%   117   80s
   943   801 266001.996   69   19 283621.709 266001.996  6.21%   112   85s
  1005   842 266001.996   80   19 283621.709 266001.996  6.21%   109   90s
  1077   890 266001.996   76   17 283621.709 266001.996  6.21%   104   95s
  1143   934 266001.996   75   17 283621.709 266001.996  6.21%   100  100s
  1238   997 266001.996   89   19 283621.709 266001.996  6.21%  95.4  105s
  1324  1055 266001.996  101   22 283621.709 266001.996  6.21%  93.4  110s
  1426  1123 266001.996  122   19 283621.709 266001.996  6.21%  90.2  115s
  1489  1165 266001.996  135   16 283621.709 266001.996  6.21%  88.6  120s
  1596  1236 266001.996  126   17 283621.709 266001.996  6.21%  85.4  125s
  1692  1300 266001.996   74   19 283621.709 266001.996  6.21%  82.9  130s
  1752  1340 266001.996   82   19 283621.709 266001.996  6.21%  81.3  135s
  1850  1405 266001.996   99   25 283621.709 266001.996  6.21%  79.1  140s
  1954  1475 266001.996  115   29 283621.709 266001.996  6.21%  77.4  145s
  2032  1527 266001.996  119   23 283621.709 266001.996  6.21%  76.2  150s
  2130  1595 266001.996  126   21 283621.709 266001.996  6.21%  74.3  155s
  2188  1653 266001.996  133   17 283621.709 266001.996  6.21%  73.2  160s
  2297  1762 266001.996  146   18 283621.709 266001.996  6.21%  72.1  165s
  2386  1845 266001.996  150   35 283621.709 266001.996  6.21%  75.2  170s
  2440  1899 266001.996  132   50 283621.709 266001.996  6.21%  85.7  175s
  2518  1977 266001.996   74   31 283621.709 266001.996  6.21%  97.5  180s
