
Gurobi 12.0.3 (win64) logging started Tue Sep  8 04:13:52 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_482\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_3_d121\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 244775 nonzeros
Model fingerprint: 0x68637c2b
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [8e-03, 1e+02]
  Bounds range     [1e+00, 2e+00]
  RHS range        [1e+00, 1e+04]

Warning: Completing partial solution with 50884 unfixed non-continuous variables out of 51608
User MIP start produced solution with objective 282888 (0.07s)
Loaded user MIP start with objective 282888

Presolve removed 25596 rows and 44796 columns
Presolve time: 0.20s
Presolved: 1306 rows, 8911 columns, 29553 nonzeros
Variable types: 216 continuous, 8695 integer (8607 binary)
Root relaxation presolved: 1306 rows, 8911 columns, 29553 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.650691e+05, 3707 iterations, 0.06 seconds (0.06 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 265069.064    0   35 282887.688 265069.064  6.30%     -    0s
     0     0 265097.978    0   36 282887.688 265097.978  6.29%     -    0s
     0     0 265630.056    0   19 282887.688 265630.056  6.10%     -    0s
     0     0 265630.056    0   11 282887.688 265630.056  6.10%     -    1s
     0     0 265630.056    0   10 282887.688 265630.056  6.10%     -    1s
     0     0 265630.056    0   24 282887.688 265630.056  6.10%     -    1s
     0     0 265630.056    0   12 282887.688 265630.056  6.10%     -    1s
     0     0 265630.056    0   58 282887.688 265630.056  6.10%     -    1s
     0     0 265630.056    0   11 282887.688 265630.056  6.10%     -    2s
     0     0 265630.056    0   11 282887.688 265630.056  6.10%     -    2s
     0     2 265630.056    0   11 282887.688 265630.056  6.10%     -    2s
    40    42 265630.056   21   19 282887.688 265630.056  6.10%   191    5s
   106   108 265630.056   54   24 282887.688 265630.056  6.10%   221   10s
   180   182 265630.056   89    6 282887.688 265630.056  6.10%   172   15s
   260   260 265630.056  117   10 282887.688 265630.056  6.10%   151   21s
   337   337 265630.056  124   12 282887.688 265630.056  6.10%   124   25s
   514   511 265630.056   67   11 282887.688 265630.056  6.10%  94.6   30s
   524   518 265630.056  104   10 282887.688 265630.056  6.10%  92.8   35s
   531   522 265630.056  146   11 282887.688 265630.056  6.10%  91.6   40s
   589   563 265630.056   39   11 282887.688 265630.056  6.10%   131   45s
   676   620 265630.056   36   20 282887.688 265630.056  6.10%   131   50s
   751   670 265630.056   81    9 282887.688 265630.056  6.10%   122   55s
   839   722 265630.056  112   10 282887.688 265630.056  6.10%   114   60s
   921   765 265630.056  106    9 282887.688 265630.056  6.10%   108   65s
   979   799 265630.056   23   11 282887.688 265630.056  6.10%   108   70s
  1072   851 265630.056   47   36 282887.688 265630.056  6.10%   100   75s
  1171   916 265630.056   85   11 282887.688 265630.056  6.10%  94.7   80s
  1271   982 265630.056  112    9 282887.688 265630.056  6.10%  89.3   85s
  1399  1064 265630.056  111   19 282887.688 265630.056  6.10%  85.6   90s
  1464  1103 265630.056  127   28 282887.688 265630.056  6.10%  92.8   95s
  1589  1146 265630.056  185   14 282887.688 265630.056  6.10%  87.8  100s
  1697  1205 265630.056   91   13 282887.688 265630.056  6.10%  87.4  105s
  1886  1281 265630.056  176   18 282887.688 265630.056  6.10%  80.1  110s
  1975  1316 265630.056  218   12 282887.688 265630.056  6.10%  77.8  115s
  2088  1358 265630.056  127   31 282887.688 265630.056  6.10%  80.9  120s
  2205  1447 265630.056  133    6 282887.688 265630.056  6.10%  83.8  125s
  2421  1662 265630.056  148    6 282887.688 265630.056  6.10%  77.5  130s
  2483  1724 265630.056  155    6 282887.688 265630.056  6.10%  76.0  136s
  2622  1846 265630.056  155    6 282887.688 265630.056  6.10%  73.7  140s
  2726  1942 265630.056  170    6 282887.688 265630.056  6.10%  71.9  145s
  2890  1993 265630.056  150   36 282887.688 265630.056  6.10%  72.5  151s
  2963  1982 265870.800  157   42 282887.688 265630.056  6.10%  74.8  155s
  3110  1959 265870.800  144   30 282887.688 265630.056  6.10%  79.4  160s
  3234  1923 265870.800  155   30 282887.688 265630.056  6.10%  81.7  165s
  3354  1932 268147.653  104   96 282887.688 265630.056  6.10%  86.4  170s
  3438  1984 265630.056   96   30 282887.688 265630.056  6.10%  87.8  175s
