
Gurobi 12.0.3 (win64) logging started Mon Sep  7 02:22:26 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_482\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_1_d121_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 244558 nonzeros
Model fingerprint: 0x43483de8
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25512 rows and 44919 columns
Presolve time: 0.12s
Presolved: 1390 rows, 8788 columns, 28693 nonzeros
Variable types: 216 continuous, 8572 integer (8166 binary)
Root relaxation presolved: 1390 rows, 8788 columns, 28693 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.166622e+05, 3411 iterations, 0.04 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 216662.220    0   60          - 216662.220      -     -    0s
     0     0 216662.220    0   65          - 216662.220      -     -    0s
     0     0 216665.845    0   93          - 216665.845      -     -    0s
     0     0 216675.412    0  104          - 216675.412      -     -    0s
     0     0 218975.462    0  104          - 218975.462      -     -    0s
     0     0 235936.790    0    9          - 235936.790      -     -    1s
     0     0 235936.790    0    9          - 235936.790      -     -    1s
H    0     0                    402228.64487 235936.790  41.3%     -    1s
     0     0 235936.790    0    9 402228.645 235936.790  41.3%     -    1s
H    0     0                    401695.29312 235936.790  41.3%     -    1s
H    0     0                    365160.61841 235936.790  35.4%     -    1s
H    0     0                    365160.51479 235936.790  35.4%     -    1s
H    0     0                    364955.92536 235936.790  35.4%     -    1s
H    0     0                    283932.71224 235936.790  16.9%     -    1s
H    0     0                    283932.68344 235936.790  16.9%     -    1s
H    0     0                    282384.79643 235936.790  16.4%     -    1s
H    0     0                    282180.20701 235936.790  16.4%     -    1s
H    0     0                    282180.17821 235936.790  16.4%     -    2s
     0     2 235936.790    0    9 282180.178 235936.790  16.4%     -    2s
    46    48 235936.790   17   44 282180.178 235936.790  16.4%   134    5s
   182   184 235936.790   36   23 282180.178 235936.790  16.4%  84.3   10s
   300   302 235936.790   47   13 282180.178 235936.790  16.4%  68.4   15s
   486   488 235936.790   18   10 282180.178 235936.790  16.4%  64.2   20s
   520   518 235936.790   38   28 282180.178 235936.790  16.4%  61.4   25s
   531   526 235936.790    6   11 282180.178 235936.790  16.4%  60.1   30s
   587   565 235936.790   34   25 282180.178 235936.790  16.4%  93.1   35s
   635   597 235936.790   48   16 282180.178 235936.790  16.4%  90.3   40s
   688   632 235936.790   24    8 282180.178 235936.790  16.4%  87.2   45s
H  690   605                    280390.84734 235936.790  15.9%  87.0   45s
   749   646 235936.790   56   15 280390.847 235936.790  15.9%  82.6   50s
   794   676 235936.790   28   25 280390.847 235936.790  15.9%  82.8   55s
   846   711 235936.790   27   38 280390.847 235936.790  15.9%  80.8   60s
H  872   700                    280390.81856 235936.790  15.9%  79.3   62s
   899   720 235936.790   53   16 280390.819 235936.790  15.9%  77.5   65s
   966   765 235936.790   98   13 280390.819 235936.790  15.9%  74.5   70s
  1053   823 235936.790   81   13 280390.819 235936.790  15.9%  70.8   75s
  1155   887 235936.790  131    9 280390.819 235936.790  15.9%  70.7   80s
  1272   965 235936.790   75   19 280390.819 235936.790  15.9%  69.2   85s
  1359  1023 235936.790   73   14 280390.819 235936.790  15.9%  73.8   90s
  1484  1106 235936.790  157    9 280390.819 235936.790  15.9%  74.5   95s
  1641  1211 235936.790  171    9 280390.819 235936.790  15.9%  70.3  100s
  1729  1269 235936.790  181   22 280390.819 235936.790  15.9%  70.6  105s
  1880  1370 235936.790  181   19 280390.819 235936.790  15.9%  76.7  110s
  1973  1437 235936.790  177   17 280390.819 235936.790  15.9%  80.1  115s
  2065  1529 235936.790  182    9 280390.819 235936.790  15.9%  81.3  120s
  2205  1669 235936.790  179    9 280390.819 235936.790  15.9%  85.2  125s
  2345  1809 235936.790  182   14 280390.819 235936.790  15.9%  88.9  130s
  2478  1942 235936.790  178   11 280390.819 235936.790  15.9%  92.9  135s
  2583  2047 235936.790  178    9 280390.819 235936.790  15.9%  96.0  140s
  2704  2168 235936.790  168    9 280390.819 235936.790  15.9%  94.2  145s
  2856  2320 235936.790  178    9 280390.819 235936.790  15.9%  93.8  150s
