extraction_point;total_extracted_tons
C0412;181.44
N2823;181.44
N2782;181.44
C0277;181.44
C0276;181.44
C0273;181.44
C0272;181.44
C0270;181.44
C0269;181.44
N2784;181.44
C0242;181.44
C0510;181.44
N2708;181.44
N2787;181.44
N2747;181.44
N2788;181.44
C0534;181.44
N2790;181.44
C0535;181.44
C0538;181.44
C0556;181.44
C0279;181.44
C0307;181.44
C0308;181.44
C0416;181.44
C0451;181.44
C0450;181.44
C0448;181.44
C0482;181.44
N2752;181.44
N2754;181.44
C0418;181.44
C0417;181.44
C0502;181.44
C0309;181.44
N2632;181.44
N2755;181.44
C0409;181.44
C0316;181.44
C0315;181.44
C0312;181.44
C0311;181.44
C0310;181.44
N2791;181.44
N2746;181.44
N2859;181.44
N2825;181.44
N2831;181.44
N2858;181.44
N2860;181.44
N2861;181.44
C0617;181.44
C0619;181.44
C0620;181.44
C0085;181.44
N2863;181.44
C0585;181.44
C0611;181.44
C0055;181.44
N2675;181.44
N2601;181.44
C0054;181.44
N2598;181.44
C0305;151.20
N2744;151.20
C0499;151.20
C0280;151.20
N2781;151.20
C0306;151.20
C0500;151.20
C0056;151.20
N2593;151.20
C0268;151.20
C0440;151.20
C0206;151.20
C0610;151.20
N2820;151.20
C0131;151.20
C0555;151.20
C0582;151.20
C0232;151.20
C0233;151.20
C0554;151.20
C0479;136.08
C0562;136.08
C0504;136.08
C0476;136.08
N2714;136.08
N2634;136.08
N2635;136.08
C0477;136.08
N2636;136.08
N2597;136.08
C0559;136.08
N2599;136.08
C0478;136.08
N2637;136.08
N2600;136.08
C0561;136.08
N2676;136.08
C0560;136.08
C0586;136.08
N2674;136.08
N2710;136.08
C0614;136.08
N2712;136.08
C0615;136.08
C0590;136.08
N2713;136.08
C0507;136.08
N2711;136.08
C0616;136.08
C0563;136.08
C0589;136.08
N2673;136.08
C0531;136.08
C0532;136.08
C0533;136.08
C0588;136.08
C0618;136.08
C0587;136.08
C0506;136.08
C0505;136.08
N2638;136.08
N2677;136.08
C0508;136.08
N2748;136.08
C0161;136.08
C0201;136.08
C0200;136.08
C0199;136.08
C0198;136.08
N2865;136.08
N2864;136.08
N2862;136.08
N2749;136.08
C0165;136.08
C0164;136.08
C0163;136.08
C0162;136.08
N2824;136.08
C0051;136.08
N2826;136.08
N2827;136.08
N2828;136.08
C0086;136.08
C0087;136.08
C0127;136.08
C0126;136.08
C0088;136.08
C0089;136.08
C0125;136.08
C0124;136.08
C0090;136.08
C0122;136.08
C0123;136.08
C0202;136.08
C0313;136.08
C0449;136.08
C0447;136.08
C0446;136.08
C0445;136.08
N2750;136.08
C0047;136.08
N2751;136.08
N2753;136.08
C0048;136.08
C0415;136.08
C0414;136.08
C0413;136.08
N2789;136.08
C0314;136.08
C0275;136.08
C0274;136.08
C0049;136.08
C0241;136.08
C0240;136.08
C0239;136.08
C0050;136.08
C0238;136.08
C0237;136.08
N2785;136.08
N2786;136.08
C0166;120.96
C0119;120.96
N2639;120.96
N2867;120.96
N2866;120.96
N2822;120.96
N2640;120.96
N2670;120.96
N2745;120.96
N2716;120.96
N2715;120.96
N2783;120.96
N2709;120.96
N2707;120.96
N2706;120.96
N2679;120.96
N2678;120.96
N2792;120.96
N2821;120.96
N2829;120.96
N2830;120.96
N2672;120.96
N2671;120.96
N2633;120.96
C0044;120.96
N2631;120.96
C0234;120.96
C0194;120.96
C0195;120.96
C0196;120.96
C0197;120.96
C0203;120.96
C0204;120.96
C0205;120.96
C0235;120.96
C0444;120.96
C0236;120.96
C0243;120.96
C0271;120.96
C0278;120.96
C0410;120.96
C0411;120.96
C0419;120.96
C0168;120.96
C0167;120.96
C0160;120.96
C0159;120.96
C0046;120.96
C0052;120.96
C0053;120.96
C0082;120.96
C0083;120.96
C0084;120.96
C0091;120.96
C0092;120.96
C0093;120.96
C0120;120.96
C0121;120.96
C0128;120.96
C0129;120.96
C0130;120.96
C0158;120.96
C0443;120.96
C0442;120.96
C0557;120.96
C0593;120.96
C0564;120.96
C0565;120.96
C0583;120.96
C0584;120.96
C0591;120.96
C0592;120.96
C0612;120.96
C0537;120.96
C0613;120.96
N2594;120.96
N2595;120.96
N2596;120.96
N2602;120.96
N2603;120.96
C0558;120.96
N2868;120.96
C0536;120.96
C0481;120.96
C0530;120.96
C0529;120.96
C0528;120.96
C0473;120.96
C0474;120.96
C0509;120.96
C0045;120.96
C0503;120.96
C0475;120.96
C0501;120.96
C0483;120.96
C0480;120.96
C0441;75.60
N2857;75.60
N2668;75.60
N2669;75.60
N2705;75.60
C0527;75.60
C0157;75.60
N2630;75.60
C0472;75.60
