n,estacion,lhd,d,t,Bmax,B_t-1,B_t,E_pre,E_post,Delta_intervalo,asignado_punto_extraccion,punto_extraccion
1,station_2,LH518B_8,60,10,353.0,113.30483232538005,353.0,239.69516767461994,0,239.69516767461994,0,
2,station_3,LH518B_9,60,11,353.0,114.39415676646477,353.0,238.6058432335352,0,238.6058432335352,0,
3,station_1,LH518B_3,60,13,353.0,140.892552942045,353.0,212.107447057955,0,212.107447057955,0,
4,station_2,LH518B_6,60,19,353.0,250.76815813342282,353.0,102.23184186657718,0,102.23184186657718,0,
5,station_1,LH518B_1,60,21,353.0,124.13781026216033,353.0,228.86218973783969,0,228.86218973783969,0,
6,station_2,LH518B_5,60,29,353.0,158.25692632335796,339.43270508934637,194.74307367664204,13.56729491065363,181.1757787659884,1,C0273
7,station_3,LH518B_12,60,29,353.0,87.32356090674745,342.2851637371554,265.67643909325255,10.714836262844585,254.96160283040797,1,N2603
8,station_2,LH518B_7,60,34,353.0,166.00934558148518,339.4085883879366,186.99065441851482,13.591411612063382,173.39924280645144,1,C0162
9,station_1,LH518B_2,60,35,353.0,155.76863179286718,342.3708559925788,197.23136820713282,10.62914400742119,186.60222419971163,1,C0565
10,station_3,LH518B_10,60,35,353.0,109.96457004386887,338.6525252545299,243.0354299561311,14.347474745470095,228.68795521066102,1,N2787
11,station_1,LH518B_4,60,42,353.0,72.52973325826514,353.0,280.47026674173486,0,280.47026674173486,0,
12,station_3,LH518B_11,60,46,353.0,97.3231116534824,341.6018571972084,255.67688834651761,11.398142802791597,244.27874554372602,1,N2678
13,station_2,LH518B_5,60,51,353.0,153.6399178201344,342.3789621115718,199.3600821798656,10.62103788842819,188.7390442914374,1,C0278
14,station_1,LH518B_1,60,55,353.0,79.09140186955608,353.0,273.9085981304439,0,273.9085981304439,0,
15,station_3,LH518B_9,60,56,353.0,102.98900190870694,353.0,250.01099809129306,0,250.01099809129306,0,
16,station_2,LH518B_8,60,60,353.0,102.60577451482268,353.0,250.39422548517732,0,250.39422548517732,0,
17,station_3,LH518B_12,60,65,353.0,135.49702916284622,339.7644381025131,217.50297083715378,13.235561897486889,204.2674089396669,1,N2598
18,station_2,LH518B_6,60,66,353.0,84.52628735797434,341.26557439648803,268.47371264202565,11.734425603511966,256.7392870385137,1,C0242
19,station_1,LH518B_3,60,68,353.0,76.28893757935968,341.1597176713665,276.7110624206403,11.84028232863352,264.8707800920068,1,C0475
20,station_3,LH518B_10,60,75,353.0,76.08211446387742,341.6535797129442,276.9178855361226,11.346420287055821,265.57146524906676,1,N2747
21,station_1,LH518B_4,60,77,353.0,112.79038457405969,353.0,240.2096154259403,0,240.2096154259403,0,
22,station_2,LH518B_6,60,79,353.0,229.5062246770267,353.0,123.4937753229733,0,123.4937753229733,0,
23,station_2,LH518B_7,60,86,353.0,71.72553621780331,353.0,281.2744637821967,0,281.2744637821967,0,
24,station_1,LH518B_2,60,87,353.0,77.56709975844909,353.0,275.4329002415509,0,275.4329002415509,0,
25,station_3,LH518B_12,60,101,353.0,120.51237584429776,353.0,232.48762415570224,0,232.48762415570224,0,
26,station_1,LH518B_1,60,105,353.0,123.62300436449583,353.0,229.37699563550416,0,229.37699563550416,0,
