node,total_trips,min_daily_trips,max_daily_trips,mean_daily_trips
C0044,12.0,12.0,12.0,12.0
C0045,12.0,12.0,12.0,12.0
C0046,9.0,9.0,9.0,9.0
C0047,9.0,9.0,9.0,9.0
C0048,9.0,9.0,9.0,9.0
C0049,9.0,9.0,9.0,9.0
C0050,12.0,12.0,12.0,12.0
C0051,9.0,9.0,9.0,9.0
C0052,9.0,9.0,9.0,9.0
C0053,12.0,12.0,12.0,12.0
C0054,12.0,12.0,12.0,12.0
C0055,12.0,12.0,12.0,12.0
C0056,12.0,12.0,12.0,12.0
C0082,12.0,12.0,12.0,12.0
C0083,12.0,12.0,12.0,12.0
C0084,9.0,9.0,9.0,9.0
C0085,9.0,9.0,9.0,9.0
C0086,9.0,9.0,9.0,9.0
C0087,12.0,12.0,12.0,12.0
C0088,9.0,9.0,9.0,9.0
C0089,9.0,9.0,9.0,9.0
C0090,9.0,9.0,9.0,9.0
C0091,9.0,9.0,9.0,9.0
C0092,12.0,12.0,12.0,12.0
C0093,12.0,12.0,12.0,12.0
C0119,12.0,12.0,12.0,12.0
C0120,12.0,12.0,12.0,12.0
C0121,11.99999999999995,11.99999999999995,11.99999999999995,11.99999999999995
C0122,9.0,9.0,9.0,9.0
C0123,9.0,9.0,9.0,9.0
C0124,9.0,9.0,9.0,9.0
C0125,9.0,9.0,9.0,9.0
C0126,9.000000001094394,9.000000001094394,9.000000001094394,9.000000001094394
C0127,9.0,9.0,9.0,9.0
C0128,9.000015312443319,9.000015312443319,9.000015312443319,9.000015312443319
C0129,12.0,12.0,12.0,12.0
C0130,12.0,12.0,12.0,12.0
C0131,11.999999999708322,11.999999999708322,11.999999999708322,11.999999999708322
C0157,11.99999999918212,11.99999999918212,11.99999999918212,11.99999999918212
C0158,12.0,12.0,12.0,12.0
C0159,12.0,12.0,12.0,12.0
C0160,9.000000001202551,9.000000001202551,9.000000001202551,9.000000001202551
C0161,9.0,9.0,9.0,9.0
C0162,9.0,9.0,9.0,9.0
C0163,9.0,9.0,9.0,9.0
C0164,9.0,9.0,9.0,9.0
C0165,12.0,12.0,12.0,12.0
C0166,9.0,9.0,9.0,9.0
C0167,12.0,12.0,12.0,12.0
C0168,12.0,12.0,12.0,12.0
C0194,12.0,12.0,12.0,12.0
C0195,12.0,12.0,12.0,12.0
C0196,9.0,9.0,9.0,9.0
C0197,9.0,9.0,9.0,9.0
C0198,9.0,9.0,9.0,9.0
C0199,12.0,12.0,12.0,12.0
C0200,12.0,12.0,12.0,12.0
C0201,12.0,12.0,12.0,12.0
C0202,12.0,12.0,12.0,12.0
C0203,9.0,9.0,9.0,9.0
C0204,12.0,12.0,12.0,12.0
C0205,12.0,12.0,12.0,12.0
C0206,12.0,12.0,12.0,12.0
C0232,12.0,12.0,12.0,12.0
C0233,12.0,12.0,12.0,12.0
C0234,12.0,12.0,12.0,12.0
C0235,9.0,9.0,9.0,9.0
C0236,12.0,12.0,12.0,12.0
C0237,9.0,9.0,9.0,9.0
C0238,9.0,9.0,9.0,9.0
C0239,9.0,9.0,9.0,9.0
C0240,9.0,9.0,9.0,9.0
C0241,12.0,12.0,12.0,12.0
C0242,12.0,12.0,12.0,12.0
C0243,9.0,9.0,9.0,9.0
C0268,12.0,12.0,12.0,12.0
C0269,12.0,12.0,12.0,12.0
C0270,9.0,9.0,9.0,9.0
C0271,12.0,12.0,12.0,12.0
C0272,12.0,12.0,12.0,12.0
C0273,9.0,9.0,9.0,9.0
C0274,9.0,9.0,9.0,9.0
C0275,12.0,12.0,12.0,12.0
C0276,9.0,9.0,9.0,9.0
C0277,12.0,12.0,12.0,12.0
C0278,12.0,12.0,12.0,12.0
C0279,12.0,12.0,12.0,12.0
C0280,12.0,12.0,12.0,12.0
C0305,12.0,12.0,12.0,12.0
C0306,12.0,12.0,12.0,12.0
C0307,12.0,12.0,12.0,12.0
C0308,9.0,9.0,9.0,9.0
C0309,9.0,9.0,9.0,9.0
C0310,9.0,9.0,9.0,9.0
C0311,9.0,9.0,9.0,9.0
C0312,12.0,12.0,12.0,12.0
C0313,9.0,9.0,9.0,9.0
C0314,9.0,9.0,9.0,9.0
C0315,9.0,9.0,9.0,9.0
C0316,12.0,12.0,12.0,12.0
C0409,12.0,12.0,12.0,12.0
C0410,12.0,12.0,12.0,12.0
C0411,12.0,12.0,12.0,12.0
C0412,12.0,12.0,12.0,12.0
C0413,9.0,9.0,9.0,9.0
C0414,9.0,9.0,9.0,9.0
C0415,9.0,9.0,9.0,9.0
C0416,12.0,12.0,12.0,12.0
C0417,12.0,12.0,12.0,12.0
C0418,12.0,12.0,12.0,12.0
C0419,12.0,12.0,12.0,12.0
C0440,12.0,12.0,12.0,12.0
C0441,12.0,12.0,12.0,12.0
C0442,12.0,12.0,12.0,12.0
C0443,12.0,12.0,12.0,12.0
C0444,12.0,12.0,12.0,12.0
C0445,12.0,12.0,12.0,12.0
C0446,12.0,12.0,12.0,12.0
C0447,9.0,9.0,9.0,9.0
C0448,12.0,12.0,12.0,12.0
C0449,12.0,12.0,12.0,12.0
C0450,12.0,12.0,12.0,12.0
C0451,12.0,12.0,12.0,12.0
C0472,12.0,12.0,12.0,12.0
C0473,12.0,12.0,12.0,12.0
C0474,12.0,12.0,12.0,12.0
C0475,12.0,12.0,12.0,12.0
C0476,12.0,12.0,12.0,12.0
C0477,9.0,9.0,9.0,9.0
C0478,9.0,9.0,9.0,9.0
C0479,9.0,9.0,9.0,9.0
C0480,12.0,12.0,12.0,12.0
C0481,12.0,12.0,12.0,12.0
C0482,12.0,12.0,12.0,12.0
C0483,12.0,12.0,12.0,12.0
C0499,12.0,12.0,12.0,12.0
C0500,12.0,12.0,12.0,12.0
C0501,12.0,12.0,12.0,12.0
C0502,12.0,12.0,12.0,12.0
C0503,12.0,12.0,12.0,12.0
C0504,12.0,12.0,12.0,12.0
C0505,9.0,9.0,9.0,9.0
C0506,9.0,9.0,9.0,9.0
C0507,9.0,9.0,9.0,9.0
C0508,12.0,12.0,12.0,12.0
C0509,12.0,12.0,12.0,12.0
C0510,12.0,12.0,12.0,12.0
C0527,12.0,12.0,12.0,12.0
C0528,12.0,12.0,12.0,12.0
C0529,9.0,9.0,9.0,9.0
C0530,9.0,9.0,9.0,9.0
C0531,9.0,9.0,9.0,9.0
C0532,9.0,9.0,9.0,9.0
C0533,9.0,9.0,9.0,9.0
C0534,12.0,12.0,12.0,12.0
C0535,12.0,12.0,12.0,12.0
C0536,12.0,12.0,12.0,12.0
C0537,12.0,12.0,12.0,12.0
C0538,12.0,12.0,12.0,12.0
C0554,12.0,12.0,12.0,12.0
C0555,12.0,12.0,12.0,12.0
C0556,12.0,12.0,12.0,12.0
C0557,12.0,12.0,12.0,12.0
C0558,9.0,9.0,9.0,9.0
C0559,12.0,12.0,12.0,12.0
C0560,12.0,12.0,12.0,12.0
C0561,9.0,9.0,9.0,9.0
C0562,12.0,12.0,12.0,12.0
C0563,12.0,12.0,12.0,12.0
C0564,9.0,9.0,9.0,9.0
C0565,12.0,12.0,12.0,12.0
C0582,12.000000000808443,12.000000000808443,12.000000000808443,12.000000000808443
