j,extraccion_total_dia_1
06_13F,181.440000
06_14F,181.440000
06_15F,181.440000
07_08F,226.800000
07_09F,211.680000
07_09H,226.800000
07_10F,211.680000
07_10H,211.680000
07_11F,226.800000
07_11H,211.680000
07_12F,226.800000
07_12H,226.800000
07_13F,181.440000
07_13H,181.440000
07_14F,226.800000
07_14H,181.440000
07_15F,181.440000
07_15H,181.440000
07_16F,226.800000
08_04F,136.080000
08_05F,136.080000
08_05H,136.080000
08_06F,136.080000
08_06H,136.080000
08_07F,136.080000
08_07H,136.080000
08_08F,151.200000
08_08H,136.080000
08_09F,151.200000
08_09H,151.200000
08_10F,151.200000
08_10H,151.200000
08_11F,136.080000
08_11H,136.080000
08_12F,136.080000
08_12H,136.080000
08_13F,136.080000
08_13H,136.080000
08_14F,136.080000
08_14H,136.080000
08_15F,136.080000
08_15H,136.080000
08_16F,181.440000
08_16H,181.440000
08_17F,181.440000
09_05F,136.080000
09_05H,136.080000
09_06F,136.080000
09_06H,136.080000
09_07F,136.080000
09_07H,136.080000
09_08F,136.080000
09_08H,136.080000
09_09F,136.080000
09_09H,136.080000
09_10F,136.080000
09_10H,136.080000
09_11F,120.960000
09_11H,120.960000
09_12F,120.960000
09_12H,120.960000
09_13F,136.080000
09_13H,120.960000
09_14F,136.080000
09_14H,136.080000
09_15F,136.080000
09_15H,136.080000
09_16F,136.080000
09_16H,136.080000
09_17F,136.080000
09_17H,136.080000
09_18F,136.080000
10_05H,136.080000
10_06F,90.720000
10_06H,136.080000
10_07F,90.720000
10_07H,136.080000
10_08F,136.080000
10_08H,136.080000
10_09F,136.080000
10_09H,90.720000
10_10F,90.720000
10_10H,90.720000
10_11F,90.720000
10_11H,90.720000
10_12F,90.720000
10_12H,90.720000
10_13F,136.080000
10_13H,136.080000
10_14F,136.080000
10_14H,136.080000
10_15F,90.720000
10_15H,90.720000
10_16F,136.080000
10_16H,90.720000
10_17F,136.080000
10_17H,136.080000
10_18F,136.080000
10_18H,136.080000
10_19F,120.960000
11_06H,181.440000
11_07F,181.440000
11_07H,181.440000
11_08F,181.440000
11_08H,181.440000
11_09F,181.440000
11_09H,181.440000
11_10F,181.440000
11_10H,181.440000
11_11F,136.080000
11_11H,181.440000
11_12F,136.080000
11_12H,136.080000
11_13F,136.080000
11_13H,136.080000
11_14F,151.200000
11_14H,136.080000
11_15F,136.080000
11_15H,151.200000
11_16F,136.080000
11_16H,136.080000
11_17F,136.080000
11_17H,136.080000
11_18F,181.440000
11_18H,136.080000
11_19F,181.440000
11_19H,181.440000
12_07H,120.960000
12_08F,120.960000
12_08H,120.960000
12_09F,136.080000
12_09H,120.960000
12_10F,136.080000
12_10H,136.080000
12_11F,136.080000
12_11H,136.080000
12_12F,90.720000
12_12H,136.080000
12_13F,136.080000
12_13H,90.720000
12_14F,90.720000
12_14H,136.080000
12_15F,90.720000
12_15H,90.720000
12_16F,136.080000
12_16H,136.080000
12_17F,90.720000
12_17H,90.720000
12_18F,136.080000
12_18H,136.080000
12_19H,136.080000
13_08F,90.720000
13_08H,120.960000
13_09F,90.720000
13_09H,90.720000
13_10F,90.720000
13_10H,90.720000
13_11F,136.080000
13_11H,90.720000
13_12F,136.080000
13_12H,136.080000
13_13F,136.080000
13_13H,90.720000
13_14F,90.720000
13_14H,90.720000
13_15F,90.720000
13_15H,90.720000
13_16F,90.720000
13_16H,90.720000
13_17H,90.720000
13_18H,90.720000
14_08F,90.720000
14_08H,136.080000
14_09F,136.080000
14_09H,90.720000
14_10F,90.720000
14_10H,136.080000
14_11F,136.080000
14_11H,136.080000
14_12F,90.720000
14_12H,90.720000
14_13F,90.720000
14_13H,90.720000
14_14F,90.720000
14_14H,90.720000
14_15H,90.720000
14_16H,90.720000
15_08F,136.080000
15_08H,120.960000
15_09F,136.080000
15_09H,136.080000
15_10F,136.080000
15_10H,136.080000
15_11F,90.720000
15_11H,136.080000
15_12F,136.080000
15_12H,90.720000
15_13H,136.080000
15_14H,136.080000
16_08H,136.080000
16_09F,136.080000
16_09H,136.080000
16_10F,90.720000
16_10H,90.720000
16_11H,90.720000
16_12H,90.720000
17_09F,136.080000
17_09H,120.960000
17_10H,136.080000
18_09H,181.440000
