
Gurobi 10.0.0 (win64) logging started Wed Jul 29 21:41:54 2026

Set parameter LogFile to value "output\Taller_DET_Agosto\Swap_maxproduction_27ktpd\station_1_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (win64)

CPU model: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 4 physical cores, 8 logical processors, using up to 1 threads

Optimize a model with 33882 rows, 80359 columns and 367272 nonzeros
Model fingerprint: 0x99088d6b
Variable types: 4395 continuous, 75964 integer (42841 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [4e-01, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 3e+04]
Presolve removed 31413 rows and 58687 columns
Presolve time: 2.49s
Presolved: 2469 rows, 21672 columns, 70662 nonzeros
Variable types: 413 continuous, 21259 integer (20741 binary)
Root relaxation presolve removed 1 rows and 0 columns
Root relaxation presolved: 2468 rows, 21673 columns, 70661 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 4.679076e+05, 8710 iterations, 0.84 seconds (0.17 work units)
Total elapsed time = 5.83s

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 514962.165    0   92          - 514962.165      -     -    8s
     0     0 530687.103    0   81          - 530687.103      -     -   16s
     0     0 530725.420    0  101          - 530725.420      -     -   16s
     0     0 530725.420    0  111          - 530725.420      -     -   17s
     0     0 543498.515    0   96          - 543498.515      -     -   22s
     0     0 543498.515    0  162          - 543498.515      -     -   22s
     0     0 543498.515    0  107          - 543498.515      -     -   28s
     0     0 543498.515    0  141          - 543498.515      -     -   29s
     0     0 543498.515    0  105          - 543498.515      -     -   39s
     0     0 543498.515    0   91          - 543498.515      -     -   42s
H    0     0                    722005.38133 543498.515  24.7%     -   46s
     0     2 543498.515    0   89 722005.381 543498.515  24.7%     -   48s
     3     5 543498.515    2  154 722005.381 543498.515  24.7%   698   50s
H    4     4                    721095.89867 543498.515  24.6%   524   51s
     8    10 543498.515    4  179 721095.899 543498.515  24.6%   615   55s
H    9     9                    682695.89867 543498.515  20.4%   546   57s
    12    14 543498.515    5  192 682695.899 543498.515  20.4%   570   60s
    21    23 546040.203    5  142 682695.899 543498.515  20.4%   469   65s
    26    28 543498.515    7  187 682695.899 543498.515  20.4%   456   70s
H   28    26                    633868.73067 543498.515  14.3%   432   79s
    29    29 543978.413    8  214 633868.731 543978.413  14.2%   425   80s
    40    40 543978.413    4  170 633868.731 543978.413  14.2%   348   87s
    45    43 546040.170    9  158 633868.731 546040.170  13.9%   328   90s
    54    50 546040.170   10  112 633868.731 546040.170  13.9%   280   95s
    55    51 546040.170   13  126 633868.731 546040.170  13.9%   276  105s
    65    61 546040.170   14  139 633868.731 546040.170  13.9%   243  110s
    75    68 546040.170   19  118 633868.731 546040.170  13.9%   233  115s
    82    75 546040.170   11  182 633868.731 546040.170  13.9%   226  128s
    86    79 546040.203   10  147 633868.731 546040.170  13.9%   229  130s
    94    87 546040.170   12  147 633868.731 546040.170  13.9%   227  135s
    96    89 546040.170   19  109 633868.731 546040.170  13.9%   225  140s
   101    94 546040.170   14  158 633868.731 546040.170  13.9%   218  146s
   106    99 546040.170   16  157 633868.731 546040.170  13.9%   213  151s
   116   109 546040.170   19  150 633868.731 546040.170  13.9%   200  155s
   129   122 546040.203   28  104 633868.731 546040.170  13.9%   194  160s
   136   129 546040.203   30   89 633868.731 546040.170  13.9%   199  171s
   142   135 546040.170   30   92 633868.731 546040.170  13.9%   207  175s
   155   148 546040.203   26  106 633868.731 546040.170  13.9%   209  180s
   168   161 546040.170   15  167 633868.731 546040.170  13.9%   207  185s
H  169   160                    632845.56267 546040.170  13.7%   205  192s
   173   166 546040.170   11  147 632845.563 546040.170  13.7%   207  195s
   188   181 546040.170   17  113 632845.563 546040.170  13.7%   209  200s
   201   194 546040.170   28  119 632845.563 546040.170  13.7%   207  205s
   208   201 546040.170   23  159 632845.563 546040.170  13.7%   208  210s
   224   217 546040.203   28  127 632845.563 546040.170  13.7%   208  218s
   227   220 546040.170   29  153 632845.563 546040.170  13.7%   207  220s
   249   242 546040.203   33  110 632845.563 546040.170  13.7%   194  226s
   264   257 546040.170   37  108 632845.563 546040.170  13.7%   189  230s
   273   266 546040.203   36  109 632845.563 546040.170  13.7%   190  236s
   288   281 546040.170   36  135 632845.563 546040.170  13.7%   189  240s
   306   299 546040.170   34  152 632845.563 546040.170  13.7%   182  245s
   326   319 546040.170   35  112 632845.563 546040.170  13.7%   176  250s
   367   360 546040.170   36   91 632845.563 546040.170  13.7%   174  255s
   397   390 546040.203   49   46 632845.563 546040.170  13.7%   168  267s
   412   405 546040.203   56   46 632845.563 546040.170  13.7%   176  270s
   436   429 546040.203   53   53 632845.563 546040.170  13.7%   179  275s
