
Gurobi 10.0.0 (win64) logging started Thu Jul 30 18:39:47 2026

Set parameter LogFile to value "output\Taller_DET_Agosto\Swap_maxproduction_640kW_v2\station_1_d152\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (win64)

CPU model: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 4 physical cores, 8 logical processors, using up to 1 threads

Optimize a model with 33882 rows, 80359 columns and 364602 nonzeros
Model fingerprint: 0xdbc5be50
Variable types: 4395 continuous, 75964 integer (42841 binary)
Coefficient statistics:
  Matrix range     [1e+00, 6e+02]
  Objective range  [4e-01, 1e+02]
  Bounds range     [1e+00, 3e+00]
  RHS range        [1e+00, 3e+04]

Warning: Completing partial solution with 74700 unfixed non-continuous variables out of 75964
User MIP start produced solution with objective 442539 (0.25s)
Loaded user MIP start with objective 442539

Presolve removed 31521 rows and 58713 columns
Presolve time: 1.22s
Presolved: 2361 rows, 21646 columns, 69625 nonzeros
Variable types: 413 continuous, 21233 integer (20954 binary)
Root relaxation presolved: 2361 rows, 21646 columns, 69625 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 3.626999e+05, 7304 iterations, 0.44 seconds (0.14 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 362699.949    0   33 442539.024 362699.949  18.0%     -    3s
     0     0 362699.949    0   30 442539.024 362699.949  18.0%     -    7s
     0     0 362702.285    0   47 442539.024 362702.285  18.0%     -   12s
     0     0 362702.285    0   57 442539.024 362702.285  18.0%     -   12s
     0     0 362702.285    0   44 442539.024 362702.285  18.0%     -   15s
     0     0 362702.285    0   77 442539.024 362702.285  18.0%     -   15s
     0     0 362702.285    0   32 442539.024 362702.285  18.0%     -   19s
     0     0 362702.285    0   98 442539.024 362702.285  18.0%     -   23s
     0     0 362702.285    0   47 442539.024 362702.285  18.0%     -   26s
     0     0 362702.285    0  109 442539.024 362702.285  18.0%     -   27s
     0     0 362702.285    0   36 442539.024 362702.285  18.0%     -   31s
     0     0 362702.285    0   96 442539.024 362702.285  18.0%     -   39s
     0     0 362702.285    0   35 442539.024 362702.285  18.0%     -   44s
     0     0 362702.285    0   30 442539.024 362702.285  18.0%     -   46s
     0     2 362702.285    0   26 442539.024 362702.285  18.0%     -   56s
     6     8 362702.285    3  146 442539.024 362702.285  18.0%   711   60s
     9    11 362702.285    5  100 442539.024 362702.285  18.0%   513   66s
    14    16 362702.285    7  196 442539.024 362702.285  18.0%   374   70s
    19    21 362702.285   10   30 442539.024 362702.285  18.0%   578   75s
    27    29 362702.285   14  122 442539.024 362702.285  18.0%   659   80s
    35    37 362702.285   18  158 442539.024 362702.285  18.0%   583   85s
    41    43 362702.285   21   59 442539.024 362702.285  18.0%   653   90s
    48    50 362702.285   25  112 442539.024 362702.285  18.0%   576   95s
    57    59 362702.285    6  148 442539.024 362702.285  18.0%   526  100s
    65    67 362702.285   10   35 442539.024 362702.285  18.0%   616  105s
    74    76 362702.285   10   39 442539.024 362702.285  18.0%   621  110s
    85    87 362702.285   20   28 442539.024 362702.285  18.0%   611  115s
    96    98 362702.285    8  197 442539.024 362702.285  18.0%   564  120s
   101   103 362702.285   28  100 442539.024 362702.285  18.0%   607  131s
   106   108 362702.285   13   87 442539.024 362702.285  18.0%   624  137s
   112   114 362702.285   16   71 442539.024 362702.285  18.0%   599  140s
   127   129 362702.285   41  124 442539.024 362702.285  18.0%   620  145s
   142   144 362702.285   40   35 442539.024 362702.285  18.0%   612  150s
   156   158 362702.285   47   87 442539.024 362702.285  18.0%   612  155s
   165   167 362702.285   60   32 442539.024 362702.285  18.0%   662  165s
   182   184 362702.285   60   37 442539.024 362702.285  18.0%   650  170s
   191   193 362702.285   73   76 442539.024 362702.285  18.0%   689  175s
   202   204 362702.285   17  146 442539.024 362702.285  18.0%   664  186s
   203   205 362702.285   79  119 442539.024 362702.285  18.0%   663  194s
   205   207 362702.285   80   40 442539.024 362702.285  18.0%   684  195s
   215   217 362702.285   85  162 442539.024 362702.285  18.0%   700  200s
   226   228 362702.285   29  116 442539.024 362702.285  18.0%   709  205s
   240   242 362702.285   36  103 442539.024 362702.285  18.0%   708  210s
   250   252 362702.285    6  125 442539.024 362702.285  18.0%   719  224s
   252   254 362702.285   22  105 442539.024 362702.285  18.0%   715  225s
   262   264 362702.285   45  157 442539.024 362702.285  18.0%   728  230s
   272   274 362702.285   50   33 442539.024 362702.285  18.0%   746  235s
   282   284 362702.285   44   98 442539.024 362702.285  18.0%   748  240s
   291   293 362702.285   48  154 442539.024 362702.285  18.0%   736  245s
   295   297 362702.285   50   33 442539.024 362702.285  18.0%   771  258s
   300   302 362702.285   53  104 442539.024 362702.285  18.0%   761  268s
   303   305 362702.285   54  105 442539.024 362702.285  18.0%   755  270s
