extraction_point;total_extracted_tons
C0044;181.44
C0203;181.44
C0588;181.44
C0583;181.44
C0561;181.44
C0556;181.44
C0538;181.44
C0532;181.44
C0506;181.44
C0483;181.44
C0482;181.44
C0478;181.44
C0477;181.44
C0449;181.44
C0442;181.44
C0419;181.44
C0412;181.44
C0409;181.44
C0316;181.44
C0308;181.44
C0307;181.44
C0279;181.44
C0278;181.44
C0277;181.44
C0275;181.44
C0270;181.44
C0269;181.44
C0593;181.44
C0611;181.44
C0612;181.44
N2821;181.44
N2866;181.44
N2864;181.44
N2863;181.44
N2862;181.44
N2860;181.44
N2831;181.44
N2830;181.44
N2828;181.44
N2826;181.44
N2823;181.44
N2822;181.44
N2783;181.44
C0619;181.44
N2716;181.44
N2710;181.44
N2707;181.44
N2675;181.44
N2673;181.44
N2637;181.44
N2633;181.44
N2632;181.44
N2631;181.44
N2603;181.44
N2600;181.44
C0236;181.44
N2868;181.44
C0119;181.44
C0130;181.44
C0055;181.44
C0082;181.44
C0090;181.44
N2744;151.20
C0306;151.20
C0305;151.20
C0280;151.20
C0440;151.20
N2820;151.20
C0157;151.20
C0131;151.20
C0499;151.20
C0582;151.20
C0472;151.20
N2593;151.20
N2630;151.20
C0268;151.20
C0610;151.20
C0233;151.20
N2669;151.20
C0527;151.20
C0441;151.20
C0206;151.20
C0555;151.20
C0232;151.20
C0056;151.20
C0614;136.08
C0122;136.08
C0615;136.08
C0617;136.08
C0618;136.08
N2599;136.08
N2598;136.08
N2597;136.08
C0616;136.08
C0201;136.08
C0123;136.08
C0590;136.08
C0589;136.08
C0124;136.08
C0587;136.08
C0202;136.08
C0563;136.08
C0562;136.08
C0126;136.08
C0560;136.08
C0559;136.08
C0127;136.08
C0535;136.08
C0534;136.08
C0586;136.08
N2638;136.08
N2601;136.08
N2825;136.08
N2753;136.08
N2785;136.08
N2786;136.08
N2787;136.08
N2788;136.08
N2789;136.08
N2824;136.08
N2827;136.08
N2634;136.08
C0051;136.08
C0050;136.08
N2861;136.08
C0049;136.08
C0048;136.08
C0047;136.08
N2865;136.08
N2752;136.08
N2751;136.08
N2750;136.08
N2749;136.08
N2635;136.08
N2636;136.08
C0089;136.08
C0531;136.08
C0088;136.08
N2674;136.08
C0087;136.08
N2676;136.08
N2677;136.08
C0086;136.08
N2711;136.08
N2712;136.08
N2713;136.08
N2714;136.08
N2748;136.08
C0533;136.08
C0125;136.08
C0508;136.08
C0239;136.08
C0241;136.08
C0413;136.08
C0479;136.08
C0198;136.08
C0414;136.08
C0476;136.08
C0415;136.08
C0416;136.08
C0272;136.08
C0273;136.08
C0274;136.08
C0448;136.08
C0447;136.08
C0162;136.08
C0446;136.08
C0161;136.08
C0276;136.08
C0240;136.08
C0163;136.08
C0199;136.08
C0312;136.08
C0314;136.08
C0313;136.08
C0200;136.08
C0165;136.08
C0164;136.08
C0238;136.08
C0507;136.08
C0445;136.08
C0237;136.08
C0504;136.08
C0505;136.08
C0310;136.08
C0311;136.08
C0168;120.96
C0309;120.96
C0194;120.96
C0167;120.96
N2708;120.96
C0084;120.96
N2747;120.96
N2746;120.96
N2745;120.96
N2709;120.96
C0085;120.96
C0166;120.96
N2715;120.96
C0083;120.96
C0195;120.96
C0054;120.96
N2867;120.96
C0046;120.96
C0204;120.96
C0205;120.96
C0234;120.96
C0235;120.96
N2859;120.96
N2858;120.96
C0052;120.96
N2829;120.96
C0053;120.96
C0242;120.96
C0196;120.96
C0243;120.96
N2792;120.96
N2791;120.96
N2790;120.96
C0197;120.96
C0271;120.96
N2784;120.96
N2679;120.96
N2782;120.96
N2755;120.96
N2754;120.96
N2706;120.96
C0530;120.96
C0473;120.96
C0121;120.96
C0474;120.96
C0475;120.96
C0592;120.96
C0591;120.96
C0159;120.96
C0158;120.96
C0480;120.96
C0585;120.96
C0584;120.96
C0481;120.96
C0565;120.96
C0564;120.96
C0501;120.96
C0502;120.96
C0503;120.96
C0558;120.96
C0557;120.96
C0045;120.96
C0128;120.96
C0537;120.96
C0536;120.96
C0509;120.96
C0510;120.96
C0528;120.96
C0129;120.96
N2678;120.96
N2671;120.96
C0613;120.96
C0093;120.96
C0315;120.96
C0410;120.96
N2672;120.96
C0529;120.96
N2670;120.96
C0411;120.96
N2640;120.96
N2639;120.96
C0417;120.96
C0091;120.96
C0092;120.96
C0451;120.96
C0418;120.96
N2602;120.96
C0443;120.96
C0444;120.96
N2596;120.96
N2595;120.96
N2594;120.96
C0620;120.96
C0120;120.96
C0160;120.96
C0450;120.96
C0500;75.60
N2857;75.60
C0554;75.60
N2668;75.60
N2781;75.60
N2705;75.60
