extraction_point;total_extracted_tons
C0508;181.44
C0310;181.44
C0451;181.44
C0449;181.44
C0442;181.44
C0419;181.44
C0418;181.44
C0410;181.44
C0409;181.44
C0316;181.44
C0308;181.44
C0482;181.44
C0307;181.44
C0279;181.44
C0276;181.44
C0274;181.44
C0270;181.44
C0269;181.44
C0234;181.44
C0205;181.44
C0473;181.44
C0483;181.44
C0168;181.44
N2632;181.44
N2858;181.44
N2821;181.44
N2782;181.44
N2745;181.44
N2706;181.44
N2670;181.44
N2640;181.44
N2639;181.44
N2603;181.44
C0501;181.44
N2602;181.44
N2596;181.44
N2595;181.44
N2594;181.44
C0611;181.44
C0593;181.44
C0538;181.44
C0504;181.44
C0194;181.44
N2868;181.44
C0093;181.44
C0158;181.44
C0119;181.44
C0130;181.44
N2781;151.20
N2630;151.20
C0268;151.20
C0157;151.20
C0610;151.20
N2744;151.20
C0131;151.20
C0280;151.20
C0305;151.20
C0306;151.20
N2705;151.20
N2593;151.20
C0441;151.20
C0527;151.20
C0440;151.20
N2669;151.20
N2668;151.20
C0472;151.20
C0056;151.20
C0500;151.20
C0554;151.20
N2857;151.20
C0582;151.20
C0233;151.20
C0232;151.20
C0206;151.20
C0499;151.20
C0555;151.20
N2820;151.20
C0587;136.08
C0535;136.08
N2597;136.08
C0087;136.08
N2598;136.08
C0534;136.08
C0533;136.08
C0532;136.08
N2599;136.08
N2600;136.08
N2601;136.08
C0618;136.08
C0616;136.08
C0559;136.08
C0617;136.08
C0586;136.08
C0615;136.08
C0614;136.08
C0560;136.08
C0164;136.08
C0562;136.08
C0563;136.08
C0086;136.08
C0590;136.08
C0589;136.08
C0588;136.08
C0163;136.08
N2674;136.08
N2634;136.08
N2752;136.08
C0048;136.08
N2785;136.08
N2786;136.08
N2787;136.08
N2788;136.08
N2789;136.08
C0047;136.08
N2824;136.08
N2825;136.08
N2826;136.08
N2827;136.08
N2828;136.08
N2861;136.08
N2862;136.08
N2863;136.08
N2864;136.08
N2865;136.08
N2753;136.08
N2751;136.08
N2635;136.08
N2750;136.08
N2636;136.08
N2637;136.08
N2638;136.08
C0051;136.08
N2673;136.08
N2675;136.08
N2676;136.08
N2677;136.08
C0050;136.08
N2710;136.08
N2711;136.08
N2712;136.08
N2713;136.08
N2714;136.08
C0049;136.08
N2748;136.08
N2749;136.08
C0531;136.08
C0561;136.08
C0446;136.08
C0479;136.08
C0122;136.08
C0200;136.08
C0478;136.08
C0477;136.08
C0476;136.08
C0125;136.08
C0201;136.08
C0202;136.08
C0124;136.08
C0123;136.08
C0448;136.08
C0447;136.08
C0413;136.08
C0445;136.08
C0241;136.08
C0240;136.08
C0414;136.08
C0239;136.08
C0415;136.08
C0237;136.08
C0416;136.08
C0198;136.08
C0199;136.08
C0272;136.08
C0273;136.08
C0127;136.08
C0165;136.08
C0507;136.08
C0506;136.08
C0505;136.08
C0275;136.08
C0162;136.08
C0088;136.08
C0161;136.08
C0314;136.08
C0238;136.08
C0126;136.08
C0311;136.08
C0312;136.08
C0089;136.08
C0090;136.08
C0313;136.08
N2747;120.96
N2746;120.96
C0271;120.96
C0242;120.96
C0277;120.96
N2715;120.96
N2716;120.96
C0278;120.96
C0243;120.96
C0510;120.96
N2754;120.96
N2755;120.96
N2867;120.96
N2866;120.96
C0166;120.96
C0167;120.96
N2860;120.96
N2859;120.96
C0046;120.96
C0195;120.96
N2831;120.96
N2830;120.96
N2829;120.96
C0196;120.96
C0197;120.96
N2823;120.96
N2822;120.96
N2792;120.96
N2791;120.96
N2790;120.96
C0203;120.96
C0204;120.96
N2709;120.96
C0160;120.96
C0159;120.96
C0235;120.96
N2784;120.96
N2783;120.96
C0236;120.96
C0129;120.96
C0315;120.96
N2708;120.96
N2707;120.96
C0450;120.96
C0092;120.96
C0592;120.96
C0591;120.96
C0474;120.96
C0475;120.96
C0585;120.96
C0584;120.96
C0583;120.96
C0565;120.96
C0564;120.96
C0480;120.96
C0481;120.96
C0091;120.96
C0558;120.96
C0557;120.96
C0556;120.96
C0502;120.96
C0503;120.96
C0537;120.96
C0536;120.96
C0045;120.96
C0509;120.96
C0530;120.96
C0529;120.96
C0085;120.96
C0612;120.96
C0613;120.96
N2633;120.96
C0128;120.96
N2679;120.96
N2678;120.96
C0309;120.96
N2672;120.96
N2671;120.96
C0528;120.96
C0052;120.96
C0053;120.96
C0411;120.96
C0412;120.96
C0054;120.96
C0444;120.96
N2631;120.96
C0055;120.96
C0417;120.96
C0121;120.96
C0120;120.96
C0082;120.96
C0083;120.96
C0084;120.96
C0443;120.96
C0620;120.96
C0619;120.96
C0044;120.96
